policy,enabled,ts,reason,trade_side,overlap_group,overlap_reasons,tfi,mid_at_trigger,trade_px,ret_1s_bps,ret_3s_bps,ret_5s_bps,directional_ret_1s_bps,directional_ret_3s_bps,directional_ret_5s_bps
A_current,true,1776997586.1073608,cancel_aggressive,sell,overlap_quote_fade_cancel_aggressive,cancel_aggressive|quote_fade,-0.7204669260700388,,2323.7,,,,,,
B_overlap_quote_fade_only,true,1776997586.1073608,cancel_aggressive,sell,overlap_quote_fade_cancel_aggressive,cancel_aggressive|quote_fade,-0.7204669260700388,,2323.7,,,,,,
C_overlap_or_strong_tfi,true,1776997586.1073608,cancel_aggressive,sell,overlap_quote_fade_cancel_aggressive,cancel_aggressive|quote_fade,-0.7204669260700388,,2323.7,,,,,,
A_current,true,1776997586.364842,cancel_aggressive,sell,single_cancel_aggressive,cancel_aggressive,-0.7204669260700388,,2323.7,,,,,,
B_overlap_quote_fade_only,false,1776997586.364842,cancel_aggressive,sell,single_cancel_aggressive,cancel_aggressive,-0.7204669260700388,,2323.7,,,,,,
C_overlap_or_strong_tfi,true,1776997586.364842,cancel_aggressive,sell,single_cancel_aggressive,cancel_aggressive,-0.7204669260700388,,2323.7,,,,,,
A_current,true,1776997586.6071718,cancel_aggressive,sell,single_cancel_aggressive,cancel_aggressive,-0.7211613103555347,,2323.63,,,,,,
B_overlap_quote_fade_only,false,1776997586.6071718,cancel_aggressive,sell,single_cancel_aggressive,cancel_aggressive,-0.7211613103555347,,2323.63,,,,,,
C_overlap_or_strong_tfi,true,1776997586.6071718,cancel_aggressive,sell,single_cancel_aggressive,cancel_aggressive,-0.7211613103555347,,2323.63,,,,,,
A_current,true,1776997586.8695314,cancel_aggressive,sell,overlap_quote_fade_cancel_aggressive,cancel_aggressive|quote_fade,-0.7211613103555347,,2323.63,,,,,,
B_overlap_quote_fade_only,true,1776997586.8695314,cancel_aggressive,sell,overlap_quote_fade_cancel_aggressive,cancel_aggressive|quote_fade,-0.7211613103555347,,2323.63,,,,,,
C_overlap_or_strong_tfi,true,1776997586.8695314,cancel_aggressive,sell,overlap_quote_fade_cancel_aggressive,cancel_aggressive|quote_fade,-0.7211613103555347,,2323.63,,,,,,
A_current,true,1776997587.109352,cancel_aggressive,sell,overlap_quote_fade_cancel_aggressive,cancel_aggressive|quote_fade,-0.7211613103555347,,2323.63,,,,,,
B_overlap_quote_fade_only,true,1776997587.109352,cancel_aggressive,sell,overlap_quote_fade_cancel_aggressive,cancel_aggressive|quote_fade,-0.7211613103555347,,2323.63,,,,,,
C_overlap_or_strong_tfi,true,1776997587.109352,cancel_aggressive,sell,overlap_quote_fade_cancel_aggressive,cancel_aggressive|quote_fade,-0.7211613103555347,,2323.63,,,,,,
A_current,true,1776997587.3713992,cancel_aggressive,sell,overlap_quote_fade_cancel_aggressive,cancel_aggressive|quote_fade,-0.7211613103555347,,2323.63,,,,,,
B_overlap_quote_fade_only,true,1776997587.3713992,cancel_aggressive,sell,overlap_quote_fade_cancel_aggressive,cancel_aggressive|quote_fade,-0.7211613103555347,,2323.63,,,,,,
