ts,in_quote,quote_ts,quote_leg,quote_price,quote_lifetime_sec,trade_side,trade_px,mid_perp,bid_px,ask_px,spread_bps,tfi,proximity_to_quote_bps,proximity_to_best_bps,danger_direction_match,trade_reuse_key,duplicate_trade_signal,time_since_quote_ms,time_to_quote_end_ms
1777017778.1000412,True,1777017777.8554993,bid,2302.82,0.24454188346862793,buy,2310.33,2310.4449999999997,2310.44,2310.45,0.04328170547129896,-0.6793893129770994,32.61218853405721,0.5193793416862121,false,buy:2310.33:1777017778.1,False,244.54188346862793,0.0
1777017778.3506203,False,,,,,buy,2310.58,2310.575,2310.57,2310.58,0.04327927031047913,-0.32530120481927727,,0.0,unknown,buy:2310.58:1777017778.3,False,,
1777017778.6027262,False,,,,,buy,2310.58,2310.575,2310.57,2310.58,0.04327927031047913,-0.32530120481927727,,0.0,unknown,buy:2310.58:1777017778.6,False,,
1777017778.880175,False,,,,,buy,2310.58,2310.575,2310.57,2310.58,0.04327927031047913,-0.32530120481927727,,0.0,unknown,buy:2310.58:1777017778.8,False,,
1777017779.402091,False,,,,,buy,2310.58,2310.575,2310.57,2310.58,0.04327927031047913,-0.32530120481927727,,0.0,unknown,buy:2310.58:1777017779.4,False,,
1777017779.9426746,False,,,,,buy,2310.58,2310.575,2310.57,2310.58,0.04327927031047913,1.0,,0.0,unknown,buy:2310.58:1777017779.9,False,,
1777017780.1912863,False,,,,,buy,2310.58,2310.575,2310.57,2310.58,0.04327927031047913,1.0,,0.0,unknown,buy:2310.58:1777017780.1,False,,
1777017780.4396348,False,,,,,buy,2310.58,2310.575,2310.57,2310.58,0.04327927031047913,1.0,,0.0,unknown,buy:2310.58:1777017780.4,False,,
1777017780.6905317,False,,,,,buy,2310.58,2310.575,2310.57,2310.58,0.04327927031047913,1.0,,0.0,unknown,buy:2310.58:1777017780.6,False,,
1777017780.9375925,False,,,,,buy,2310.58,2310.575,2310.57,2310.58,0.04327927031047913,1.0,,0.0,unknown,buy:2310.58:1777017780.9,False,,
1777017781.6716135,False,,,,,buy,2310.58,2310.575,2310.57,2310.58,0.04327927031047913,1.0,,0.0,unknown,buy:2310.58:1777017781.6,False,,
1777017781.9237545,False,,,,,buy,2310.58,2310.575,2310.57,2310.58,0.04327927031047913,1.0,,0.0,unknown,buy:2310.58:1777017781.9,False,,
1777017782.420635,False,,,,,buy,2310.58,2310.575,2310.57,2310.58,0.04327927031047913,1.0,,0.0,unknown,buy:2310.58:1777017782.4,False,,
1777017782.6840668,False,,,,,buy,2310.58,2310.575,2310.57,2310.58,0.04327927031047913,1.0,,0.0,unknown,buy:2310.58:1777017782.6,False,,
1777017782.9281034,False,,,,,buy,2310.58,2310.575,2310.57,2310.58,0.04327927031047913,1.0,,0.0,unknown,buy:2310.58:1777017782.9,False,,
1777017783.4197755,False,,,,,buy,2310.59,2310.775,2310.77,2310.78,0.04327552444620648,0.02777777777777776,,0.8222331853315961,unknown,buy:2310.59:1777017783.4,False,,
1777017783.6856349,False,,,,,buy,2310.59,2310.775,2310.77,2310.78,0.04327552444620648,0.02777777777777776,,0.8222331853315961,unknown,buy:2310.59:1777017783.6,False,,
1777017783.9513156,False,,,,,buy,2310.59,2310.775,2310.77,2310.78,0.04327552444620648,0.02777777777777776,,0.8222331853315961,unknown,buy:2310.59:1777017783.9,False,,
1777017784.201953,False,,,,,buy,2310.59,2310.775,2310.77,2310.78,0.04327552444620648,0.02777777777777776,,0.8222331853315961,unknown,buy:2310.59:1777017784.2,False,,
1777017784.4632928,False,,,,,buy,2310.59,2310.775,2310.77,2310.78,0.04327552444620648,0.02777777777777776,,0.8222331853315961,unknown,buy:2310.59:1777017784.4,False,,
1777017784.7271144,False,,,,,buy,2310.59,2310.775,2310.77,2310.78,0.04327552444620648,0.02777777777777776,,0.8222331853315961,unknown,buy:2310.59:1777017784.7,False,,
1777017784.9940753,False,,,,,buy,2310.59,2310.775,2310.77,2310.78,0.04327552444620648,0.02777777777777776,,0.8222331853315961,unknown,buy:2310.59:1777017784.9,False,,
1777017785.2578917,False,,,,,buy,2310.59,2310.775,2310.77,2310.78,0.04327552444620648,0.02777777777777776,,0.8222331853315961,unknown,buy:2310.59:1777017785.2,False,,
1777017785.5025556,False,,,,,buy,2310.59,2310.775,2310.77,2310.78,0.04327552444620648,0.02777777777777776,,0.8222331853315961,unknown,buy:2310.59:1777017785.5,False,,
1777017785.7554617,False,,,,,buy,2310.59,2310.775,2310.77,2310.78,0.04327552444620648,0.02777777777777776,,0.8222331853315961,unknown,buy:2310.59:1777017785.7,False,,
1777017786.0026176,False,,,,,buy,2310.59,2310.775,2310.77,2310.78,0.04327552444620648,0.02777777777777776,,0.8222331853315961,unknown,buy:2310.59:1777017786.0,False,,
1777017786.2655394,False,,,,,buy,2310.78,2310.775,2310.77,2310.78,0.04327552444620648,0.31640625,,0.0,unknown,buy:2310.78:1777017786.2,False,,
1777017786.4976122,False,,,,,buy,2310.78,2310.775,2310.77,2310.78,0.04327552444620648,0.31640625,,0.0,unknown,buy:2310.78:1777017786.4,False,,
1777017786.763029,False,,,,,buy,2310.78,2310.775,2310.77,2310.78,0.04327552444620648,0.31640625,,0.0,unknown,buy:2310.78:1777017786.7,False,,
1777017787.7591174,False,,,,,buy,2310.78,2310.775,2310.77,2310.78,0.04327552444620648,0.6579804560260587,,0.0,unknown,buy:2310.78:1777017787.7,False,,
1777017788.0021255,False,,,,,buy,2310.78,2310.775,2310.77,2310.78,0.04327552444620648,0.6579804560260587,,0.0,unknown,buy:2310.78:1777017788.0,False,,
1777017788.50218,False,,,,,buy,2310.78,2310.775,2310.77,2310.78,0.04327552444620648,0.6579804560260587,,0.0,unknown,buy:2310.78:1777017788.5,False,,
1777017788.7529151,False,,,,,sell,2310.68,2310.685,2310.68,2310.69,0.043277210005770055,0.970674486803519,,0.0,unknown,sell:2310.68:1777017788.7,False,,
1777017789.0027926,False,,,,,sell,2310.68,2310.685,2310.68,2310.69,0.043277210005770055,0.970674486803519,,0.0,unknown,sell:2310.68:1777017789.0,False,,
1777017789.252314,False,,,,,sell,2310.68,2310.685,2310.68,2310.69,0.043277210005770055,0.970674486803519,,0.0,unknown,sell:2310.68:1777017789.2,False,,
1777017789.5012698,False,,,,,sell,2310.68,2310.685,2310.68,2310.69,0.043277210005770055,0.970674486803519,,0.0,unknown,sell:2310.68:1777017789.5,False,,
1777017789.7674825,False,,,,,sell,2310.68,2310.685,2310.68,2310.69,0.043277210005770055,0.970674486803519,,0.0,unknown,sell:2310.68:1777017789.7,False,,
1777017790.7612162,False,,,,,sell,2310.68,2310.685,2310.68,2310.69,0.043277210005770055,0.970674486803519,,0.0,unknown,sell:2310.68:1777017790.7,False,,
