group_type,reason,trade_side,return_horizon,count,success_count,fail_count,neutral_count,success_ratio,fail_ratio,neutral_ratio,mean_directional_ret_bps
reason,cancel_aggressive,,ret_1s_bps,281,43,26,212,0.15302491103202848,0.09252669039145907,0.7544483985765125,-0.05074936019569757
reason,cancel_aggressive,,ret_3s_bps,281,66,65,150,0.23487544483985764,0.2313167259786477,0.5338078291814946,-0.15608828799086644
reason,cancel_aggressive,,ret_5s_bps,281,77,59,145,0.27402135231316727,0.2099644128113879,0.5160142348754448,0.0428707415097116
reason_trade_side,cancel_aggressive,buy,ret_1s_bps,95,15,14,66,0.15789473684210525,0.14736842105263157,0.6947368421052632,-0.13260999666861886
reason_trade_side,cancel_aggressive,buy,ret_3s_bps,95,28,24,43,0.29473684210526313,0.25263157894736843,0.45263157894736844,-0.17783912027667134
reason_trade_side,cancel_aggressive,buy,ret_5s_bps,95,34,17,44,0.35789473684210527,0.17894736842105263,0.4631578947368421,0.07207886838785361
reason_trade_side,cancel_aggressive,sell,ret_1s_bps,186,28,12,146,0.15053763440860216,0.06451612903225806,0.7849462365591398,0.008599601247170368
reason_trade_side,cancel_aggressive,sell,ret_3s_bps,186,38,41,107,0.20430107526881722,0.22043010752688172,0.5752688172043011,-0.14177128446096957
reason_trade_side,cancel_aggressive,sell,ret_5s_bps,186,43,42,101,0.23118279569892472,0.22580645161290322,0.543010752688172,0.02534586538282639
reason,quote_fade,,ret_1s_bps,53,11,4,38,0.20754716981132076,0.07547169811320754,0.7169811320754716,0.18367190839436934
reason,quote_fade,,ret_3s_bps,53,21,9,23,0.39622641509433965,0.16981132075471697,0.4339622641509434,3.590751056213007
reason,quote_fade,,ret_5s_bps,53,25,12,16,0.4716981132075472,0.22641509433962265,0.3018867924528302,0.35610210383303365
reason_trade_side,quote_fade,,ret_1s_bps,53,11,4,38,0.20754716981132076,0.07547169811320754,0.7169811320754716,0.18367190839436934
reason_trade_side,quote_fade,,ret_3s_bps,53,21,9,23,0.39622641509433965,0.16981132075471697,0.4339622641509434,3.590751056213007
reason_trade_side,quote_fade,,ret_5s_bps,53,25,12,16,0.4716981132075472,0.22641509433962265,0.3018867924528302,0.35610210383303365
