overlap_group,reason,trade_side,return_horizon,count,mean,median,positive_ratio,negative_ratio,directional_success_ratio,directional_fail_ratio,mean_directional_ret_bps
overlap_quote_fade_cancel_aggressive,cancel_aggressive,buy,ret_1s_bps,49,-0.09348883698381043,0.0,0.20408163265306123,0.14285714285714285,0.20408163265306123,0.14285714285714285,-0.2694678242474536
overlap_quote_fade_cancel_aggressive,cancel_aggressive,buy,ret_3s_bps,46,-0.10802315291876616,0.021611761984831848,0.5,0.2391304347826087,0.5,0.2391304347826087,-0.14614897159597776
overlap_quote_fade_cancel_aggressive,cancel_aggressive,buy,ret_5s_bps,46,0.18139504779510426,0.043223523969663696,0.6521739130434783,0.1956521739130435,0.6521739130434783,0.1956521739130435,0.21395313329678964
overlap_quote_fade_cancel_aggressive,cancel_aggressive,sell,ret_1s_bps,32,-0.1350523121944104,0.0,0.0625,0.25,0.25,0.0625,0.4321673990221133
overlap_quote_fade_cancel_aggressive,cancel_aggressive,sell,ret_3s_bps,30,0.2637522543851873,0.0,0.4666666666666667,0.23333333333333334,0.23333333333333334,0.4666666666666667,-0.37678893483598186
overlap_quote_fade_cancel_aggressive,cancel_aggressive,sell,ret_5s_bps,30,-0.15841250603399093,-0.15127775676634925,0.4,0.5,0.5,0.4,0.17601389559332326
overlap_quote_fade_cancel_aggressive,quote_fade,,ret_1s_bps,52,-0.0001631323738583923,0.0,0.15384615384615385,0.1346153846153846,0.21153846153846154,0.07692307692307693,0.18367190839436934
overlap_quote_fade_cancel_aggressive,quote_fade,,ret_3s_bps,49,-1.0364920730600085,0.0,0.30612244897959184,0.30612244897959184,0.42857142857142855,0.1836734693877551,3.590751056213007
overlap_quote_fade_cancel_aggressive,quote_fade,,ret_5s_bps,49,-0.6413441937370252,0.0,0.40816326530612246,0.3469387755102041,0.5102040816326531,0.24489795918367346,0.35610210383303365
single_cancel_aggressive,cancel_aggressive,buy,ret_1s_bps,18,0.04084795048982021,0.0,0.2777777777777778,0.3888888888888889,0.2777777777777778,0.3888888888888889,0.061271925734730316
single_cancel_aggressive,cancel_aggressive,buy,ret_3s_bps,18,-0.2376982900068703,-0.47545054342087556,0.2777777777777778,0.7222222222222222,0.2777777777777778,0.7222222222222222,-0.2376982900068703
single_cancel_aggressive,cancel_aggressive,buy,ret_5s_bps,12,-0.3890124925661885,-0.32419137759690486,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,-0.3890124925661885
single_cancel_aggressive,cancel_aggressive,sell,ret_1s_bps,60,0.0662948323389053,0.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,-0.1325896646778106
single_cancel_aggressive,cancel_aggressive,sell,ret_3s_bps,60,0.05478939734768294,-0.21615872967719788,0.45,0.5166666666666667,0.5166666666666667,0.45,-0.056678686911396145
single_cancel_aggressive,cancel_aggressive,sell,ret_5s_bps,58,0.044792700404818704,0.043223523969663696,0.5172413793103449,0.4827586206896552,0.4827586206896552,0.5172413793103449,-0.044792700404818704
