policy,ts,leg,side,price,tfi,tfi_abs,recent_cancel_aggressive_count_5s,recent_cancel_aggressive_density_5s,recent_quote_fade_count_5s,recent_tfi_fade_count_5s,recent_guard_count_5s,would_allow,suppress_reason,quote_lifetime_sec,end_reason,cancel_aggressive_count_during_quote,quote_fade_count_during_quote,tfi_fade_count_during_quote
A_current,1777017777.356769,bid,buy,2302.84,-1.0,1.0,0,0.0,0,1,1,True,,0.24472284317016602,tfi_fade,0,0,1
B_tfi_abs_lte_0p5,1777017777.356769,bid,buy,2302.84,-1.0,1.0,0,0.0,0,1,1,False,tfi_abs_gt_0p5,0.24472284317016602,tfi_fade,0,0,1
C_tfi_abs_lte_0p6,1777017777.356769,bid,buy,2302.84,-1.0,1.0,0,0.0,0,1,1,False,tfi_abs_gt_0p6,0.24472284317016602,tfi_fade,0,0,1
D_cancel_density_lte_1p0,1777017777.356769,bid,buy,2302.84,-1.0,1.0,0,0.0,0,1,1,True,,0.24472284317016602,tfi_fade,0,0,1
E_cancel_density_lte_2p0,1777017777.356769,bid,buy,2302.84,-1.0,1.0,0,0.0,0,1,1,True,,0.24472284317016602,tfi_fade,0,0,1
F_guard_count_lte_5,1777017777.356769,bid,buy,2302.84,-1.0,1.0,0,0.0,0,1,1,True,,0.24472284317016602,tfi_fade,0,0,1
G_tfi_abs_lte_0p6_and_cancel_density_lte_2p0,1777017777.356769,bid,buy,2302.84,-1.0,1.0,0,0.0,0,1,1,False,tfi_abs_gt_0p6,0.24472284317016602,tfi_fade,0,0,1
H_tfi_abs_lte_0p6_and_guard_count_lte_5,1777017777.356769,bid,buy,2302.84,-1.0,1.0,0,0.0,0,1,1,False,tfi_abs_gt_0p6,0.24472284317016602,tfi_fade,0,0,1
A_current,1777017777.3577561,ask,sell,2313.23,-1.0,1.0,0,0.0,0,1,1,True,,0.24373579025268555,tfi_fade,0,0,1
B_tfi_abs_lte_0p5,1777017777.3577561,ask,sell,2313.23,-1.0,1.0,0,0.0,0,1,1,False,tfi_abs_gt_0p5,0.24373579025268555,tfi_fade,0,0,1
C_tfi_abs_lte_0p6,1777017777.3577561,ask,sell,2313.23,-1.0,1.0,0,0.0,0,1,1,False,tfi_abs_gt_0p6,0.24373579025268555,tfi_fade,0,0,1
D_cancel_density_lte_1p0,1777017777.3577561,ask,sell,2313.23,-1.0,1.0,0,0.0,0,1,1,True,,0.24373579025268555,tfi_fade,0,0,1
E_cancel_density_lte_2p0,1777017777.3577561,ask,sell,2313.23,-1.0,1.0,0,0.0,0,1,1,True,,0.24373579025268555,tfi_fade,0,0,1
F_guard_count_lte_5,1777017777.3577561,ask,sell,2313.23,-1.0,1.0,0,0.0,0,1,1,True,,0.24373579025268555,tfi_fade,0,0,1
G_tfi_abs_lte_0p6_and_cancel_density_lte_2p0,1777017777.3577561,ask,sell,2313.23,-1.0,1.0,0,0.0,0,1,1,False,tfi_abs_gt_0p6,0.24373579025268555,tfi_fade,0,0,1
H_tfi_abs_lte_0p6_and_guard_count_lte_5,1777017777.3577561,ask,sell,2313.23,-1.0,1.0,0,0.0,0,1,1,False,tfi_abs_gt_0p6,0.24373579025268555,tfi_fade,0,0,1
A_current,1777017777.6034918,bid,buy,2302.81,-1.0,1.0,0,0.0,0,2,2,True,,0.24950098991394043,tfi_fade,0,0,1
B_tfi_abs_lte_0p5,1777017777.6034918,bid,buy,2302.81,-1.0,1.0,0,0.0,0,2,2,False,tfi_abs_gt_0p5,0.24950098991394043,tfi_fade,0,0,1
C_tfi_abs_lte_0p6,1777017777.6034918,bid,buy,2302.81,-1.0,1.0,0,0.0,0,2,2,False,tfi_abs_gt_0p6,0.24950098991394043,tfi_fade,0,0,1
D_cancel_density_lte_1p0,1777017777.6034918,bid,buy,2302.81,-1.0,1.0,0,0.0,0,2,2,True,,0.24950098991394043,tfi_fade,0,0,1
E_cancel_density_lte_2p0,1777017777.6034918,bid,buy,2302.81,-1.0,1.0,0,0.0,0,2,2,True,,0.24950098991394043,tfi_fade,0,0,1
F_guard_count_lte_5,1777017777.6034918,bid,buy,2302.81,-1.0,1.0,0,0.0,0,2,2,True,,0.24950098991394043,tfi_fade,0,0,1
G_tfi_abs_lte_0p6_and_cancel_density_lte_2p0,1777017777.6034918,bid,buy,2302.81,-1.0,1.0,0,0.0,0,2,2,False,tfi_abs_gt_0p6,0.24950098991394043,tfi_fade,0,0,1
H_tfi_abs_lte_0p6_and_guard_count_lte_5,1777017777.6034918,bid,buy,2302.81,-1.0,1.0,0,0.0,0,2,2,False,tfi_abs_gt_0p6,0.24950098991394043,tfi_fade,0,0,1
A_current,1777017777.6034918,ask,sell,2313.2000000000003,-1.0,1.0,0,0.0,0,2,2,True,,0.24950098991394043,tfi_fade,0,0,1
B_tfi_abs_lte_0p5,1777017777.6034918,ask,sell,2313.2000000000003,-1.0,1.0,0,0.0,0,2,2,False,tfi_abs_gt_0p5,0.24950098991394043,tfi_fade,0,0,1
C_tfi_abs_lte_0p6,1777017777.6034918,ask,sell,2313.2000000000003,-1.0,1.0,0,0.0,0,2,2,False,tfi_abs_gt_0p6,0.24950098991394043,tfi_fade,0,0,1
D_cancel_density_lte_1p0,1777017777.6034918,ask,sell,2313.2000000000003,-1.0,1.0,0,0.0,0,2,2,True,,0.24950098991394043,tfi_fade,0,0,1
E_cancel_density_lte_2p0,1777017777.6034918,ask,sell,2313.2000000000003,-1.0,1.0,0,0.0,0,2,2,True,,0.24950098991394043,tfi_fade,0,0,1
F_guard_count_lte_5,1777017777.6034918,ask,sell,2313.2000000000003,-1.0,1.0,0,0.0,0,2,2,True,,0.24950098991394043,tfi_fade,0,0,1
G_tfi_abs_lte_0p6_and_cancel_density_lte_2p0,1777017777.6034918,ask,sell,2313.2000000000003,-1.0,1.0,0,0.0,0,2,2,False,tfi_abs_gt_0p6,0.24950098991394043,tfi_fade,0,0,1
H_tfi_abs_lte_0p6_and_guard_count_lte_5,1777017777.6034918,ask,sell,2313.2000000000003,-1.0,1.0,0,0.0,0,2,2,False,tfi_abs_gt_0p6,0.24950098991394043,tfi_fade,0,0,1
A_current,1777017777.8554993,bid,buy,2302.82,-1.0,1.0,0,0.0,0,3,3,True,,0.24454188346862793,cancel_aggressive,1,0,0
B_tfi_abs_lte_0p5,1777017777.8554993,bid,buy,2302.82,-1.0,1.0,0,0.0,0,3,3,False,tfi_abs_gt_0p5,0.24454188346862793,cancel_aggressive,1,0,0
C_tfi_abs_lte_0p6,1777017777.8554993,bid,buy,2302.82,-1.0,1.0,0,0.0,0,3,3,False,tfi_abs_gt_0p6,0.24454188346862793,cancel_aggressive,1,0,0
D_cancel_density_lte_1p0,1777017777.8554993,bid,buy,2302.82,-1.0,1.0,0,0.0,0,3,3,True,,0.24454188346862793,cancel_aggressive,1,0,0
E_cancel_density_lte_2p0,1777017777.8554993,bid,buy,2302.82,-1.0,1.0,0,0.0,0,3,3,True,,0.24454188346862793,cancel_aggressive,1,0,0
F_guard_count_lte_5,1777017777.8554993,bid,buy,2302.82,-1.0,1.0,0,0.0,0,3,3,True,,0.24454188346862793,cancel_aggressive,1,0,0
G_tfi_abs_lte_0p6_and_cancel_density_lte_2p0,1777017777.8554993,bid,buy,2302.82,-1.0,1.0,0,0.0,0,3,3,False,tfi_abs_gt_0p6,0.24454188346862793,cancel_aggressive,1,0,0
H_tfi_abs_lte_0p6_and_guard_count_lte_5,1777017777.8554993,bid,buy,2302.82,-1.0,1.0,0,0.0,0,3,3,False,tfi_abs_gt_0p6,0.24454188346862793,cancel_aggressive,1,0,0
A_current,1777017777.8554993,ask,sell,2313.21,-1.0,1.0,0,0.0,0,3,3,True,,0.24454188346862793,cancel_aggressive,1,0,0
B_tfi_abs_lte_0p5,1777017777.8554993,ask,sell,2313.21,-1.0,1.0,0,0.0,0,3,3,False,tfi_abs_gt_0p5,0.24454188346862793,cancel_aggressive,1,0,0
C_tfi_abs_lte_0p6,1777017777.8554993,ask,sell,2313.21,-1.0,1.0,0,0.0,0,3,3,False,tfi_abs_gt_0p6,0.24454188346862793,cancel_aggressive,1,0,0
