group_type,end_reason,leg,return_horizon,count,success_count,fail_count,neutral_count,success_ratio,fail_ratio,neutral_ratio,mean_directional_ret_bps,median_directional_ret_bps,mean_lifetime_sec,median_lifetime_sec,total_quote_fade_exits,total_tfi_fade_exits,quote_fade_success_ratio_3s,tfi_fade_success_ratio_3s,quote_fade_mean_directional_ret_3s,tfi_fade_mean_directional_ret_3s
overall_metrics,all,all,3s,6363,,,,,,,,,,,4118,2245,0.13744536182612918,0.09175946547884187,0.04702788553504949,0.03062367775671337
end_reason,quote_fade,all,1s,4118,231,110,3777,0.05609519184069937,0.026711996114618747,0.9171928120446818,0.02148239893132835,0.0,0.5239999397337118,0.2609165906906128,,,,,,
end_reason,quote_fade,all,3s,4118,566,295,3257,0.13744536182612918,0.07163671685284119,0.7909179213210297,0.04702788553504949,0.0,0.5239999397337118,0.2609165906906128,,,,,,
end_reason,quote_fade,all,5s,4118,821,515,2782,0.19936862554638174,0.12506070908207867,0.6755706653715395,0.06093112292076747,-0.0,0.5239999397337118,0.2609165906906128,,,,,,
end_reason,tfi_fade,all,1s,2245,79,74,2092,0.03518930957683741,0.03296213808463252,0.93184855233853,0.015648052774595425,-0.0,0.2610534421585185,0.2533121109008789,,,,,,
end_reason,tfi_fade,all,3s,2245,206,209,1830,0.09175946547884187,0.0930957683741648,0.8151447661469933,0.03062367775671337,-0.0,0.2610534421585185,0.2533121109008789,,,,,,
end_reason,tfi_fade,all,5s,2245,308,324,1613,0.13719376391982183,0.1443207126948775,0.7184855233853007,0.02114721927603748,0.0,0.2610534421585185,0.2533121109008789,,,,,,
leg,all,ask,1s,3278,166,98,3014,0.05064063453325198,0.02989627821842587,0.9194630872483222,0.022856706829751966,0.0,0.4391464341915985,0.2587571144104004,,,,,,
leg,all,ask,3s,3278,406,266,2606,0.12385600976205004,0.0811470408785845,0.7949969493593655,0.04154814132565686,-0.0,0.4391464341915985,0.2587571144104004,,,,,,
leg,all,ask,5s,3278,591,437,2250,0.1802928615009152,0.1333129957291031,0.6863941427699817,0.04721537361217063,0.0,0.4391464341915985,0.2587571144104004,,,,,,
leg,all,bid,1s,3085,144,86,2855,0.046677471636952995,0.02787682333873582,0.9254457050243112,0.015774968936192322,0.0,0.42281190216831105,0.258760929107666,,,,,,
leg,all,bid,3s,3085,366,238,2481,0.1186385737439222,0.07714748784440843,0.8042139384116693,0.04090534111974158,0.0,0.42281190216831105,0.258760929107666,,,,,,
leg,all,bid,5s,3085,538,402,2145,0.17439222042139385,0.13030794165316045,0.6952998379254457,0.046517133811363715,0.0,0.42281190216831105,0.258760929107666,,,,,,
end_reason_leg,quote_fade,ask,1s,2121,123,59,1939,0.05799151343705799,0.027817067421027818,0.9141914191419142,0.02549751547940499,-0.0,0.536459788462285,0.26093006134033203,,,,,,
end_reason_leg,quote_fade,ask,3s,2121,296,157,1668,0.13955681282413956,0.07402168788307402,0.7864214992927864,0.04510699541978354,-0.0,0.536459788462285,0.26093006134033203,,,,,,
end_reason_leg,quote_fade,ask,5s,2121,429,272,1420,0.20226308345120225,0.12824139556812825,0.6694955209806694,0.05689303304840117,0.0,0.536459788462285,0.26093006134033203,,,,,,
end_reason_leg,quote_fade,bid,1s,1997,108,51,1838,0.05408112168252378,0.02553830746119179,0.9203805708562844,0.017217846285074653,-0.0,0.5107664198772753,0.2609107494354248,,,,,,
end_reason_leg,quote_fade,bid,3s,1997,270,138,1589,0.13520280420630945,0.06910365548322484,0.7956935403104657,0.04906816932164029,-0.0,0.5107664198772753,0.2609107494354248,,,,,,
end_reason_leg,quote_fade,bid,5s,1997,392,243,1362,0.19629444166249374,0.12168252378567852,0.6820230345518278,0.06522045370842386,-0.0,0.5107664198772753,0.2609107494354248,,,,,,
end_reason_leg,tfi_fade,ask,1s,1157,43,39,1075,0.037165082108902334,0.033707865168539325,0.9291270527225584,0.018017887177838046,-0.0,0.2607526360860444,0.2533121109008789,,,,,,
end_reason_leg,tfi_fade,ask,3s,1157,110,109,938,0.09507346585998272,0.09420916162489196,0.8107173725151253,0.03503024000720021,-0.0,0.2607526360860444,0.2533121109008789,,,,,,
end_reason_leg,tfi_fade,ask,5s,1157,162,165,830,0.14001728608470182,0.14261019878997408,0.7173725151253241,0.02950784982090001,0.0,0.2607526360860444,0.2533121109008789,,,,,,
end_reason_leg,tfi_fade,bid,1s,1088,36,35,1017,0.03308823529411765,0.03216911764705882,0.9347426470588235,0.013127925564529514,0.0,0.2613733250866918,0.2534564733505249,,,,,,
end_reason_leg,tfi_fade,bid,3s,1088,96,100,892,0.08823529411764706,0.09191176470588236,0.8198529411764706,0.02593765521644382,0.0,0.2613733250866918,0.2534564733505249,,,,,,
end_reason_leg,tfi_fade,bid,5s,1088,146,159,783,0.13419117647058823,0.14613970588235295,0.7196691176470589,0.012256364919046692,0.0,0.2613733250866918,0.2534564733505249,,,,,,
