group_type,end_reason,leg,return_horizon,count,success_count,fail_count,neutral_count,success_ratio,fail_ratio,neutral_ratio,mean_directional_ret_bps,median_directional_ret_bps,mean_lifetime_sec,median_lifetime_sec,total_quote_fade_exits,total_tfi_fade_exits,quote_fade_success_ratio_3s,tfi_fade_success_ratio_3s,quote_fade_mean_directional_ret_3s,tfi_fade_mean_directional_ret_3s
overall_metrics,all,all,3s,6363,,,,,,,,,,,4118,2245,0.13793103448275862,0.09175946547884187,0.04698220521884254,0.03062367775671337
end_reason,quote_fade,all,1s,4118,231,112,3775,0.05609519184069937,0.027197668771248178,0.9167071393880525,0.021261636123007077,-0.0,0.5239999397337118,0.2609165906906128,,,,,,
end_reason,quote_fade,all,3s,4118,568,297,3253,0.13793103448275862,0.07212238950947061,0.7899465760077707,0.04698220521884254,0.0,0.5239999397337118,0.2609165906906128,,,,,,
end_reason,quote_fade,all,5s,4118,827,517,2774,0.20082564351627002,0.1255463817387081,0.6736279747450219,0.061233411388529155,0.0,0.5239999397337118,0.2609165906906128,,,,,,
end_reason,tfi_fade,all,1s,2245,79,74,2092,0.03518930957683741,0.03296213808463252,0.93184855233853,0.015648052774595425,-0.0,0.2610534421585185,0.2533121109008789,,,,,,
end_reason,tfi_fade,all,3s,2245,206,209,1830,0.09175946547884187,0.0930957683741648,0.8151447661469933,0.03062367775671337,-0.0,0.2610534421585185,0.2533121109008789,,,,,,
end_reason,tfi_fade,all,5s,2245,308,324,1613,0.13719376391982183,0.1443207126948775,0.7184855233853007,0.02114721927603748,0.0,0.2610534421585185,0.2533121109008789,,,,,,
leg,all,ask,1s,3278,166,99,3013,0.05064063453325198,0.030201342281879196,0.9191580231848688,0.022717620517905743,0.0,0.4391464341915985,0.2587571144104004,,,,,,
leg,all,ask,3s,3278,407,267,2604,0.12416107382550336,0.08145210494203783,0.7943868212324589,0.04152279163601338,-0.0,0.4391464341915985,0.2587571144104004,,,,,,
leg,all,ask,5s,3278,594,438,2246,0.18120805369127516,0.13361805979255645,0.6851738865161684,0.04742198586121142,0.0,0.4391464341915985,0.2587571144104004,,,,,,
leg,all,bid,1s,3085,144,87,2854,0.046677471636952995,0.02820097244732577,0.9251215559157212,0.01562947681549917,0.0,0.42281190216831105,0.258760929107666,,,,,,
leg,all,bid,3s,3085,367,239,2479,0.11896272285251215,0.07747163695299839,0.8035656401944895,0.040878822260020514,0.0,0.42281190216831105,0.258760929107666,,,,,,
leg,all,bid,5s,3085,541,403,2141,0.1753646677471637,0.13063209076175042,0.6940032414910859,0.04673757721867617,0.0,0.42281190216831105,0.258760929107666,,,,,,
end_reason_leg,quote_fade,ask,1s,2121,123,60,1938,0.05799151343705799,0.028288543140028287,0.9137199434229137,0.02528131286795681,-0.0,0.536459788462285,0.26093006134033203,,,,,,
end_reason_leg,quote_fade,ask,3s,2121,297,158,1666,0.14002828854314003,0.07449316360207449,0.7854785478547854,0.04506446171358855,-0.0,0.536459788462285,0.26093006134033203,,,,,,
end_reason_leg,quote_fade,ask,5s,2121,432,273,1416,0.2036775106082037,0.12871287128712872,0.6676096181046676,0.057194100617760306,0.0,0.536459788462285,0.26093006134033203,,,,,,
end_reason_leg,quote_fade,bid,1s,1997,108,52,1837,0.05408112168252378,0.026039058587881823,0.9198798197295944,0.016992365028345932,-0.0,0.5107664198772753,0.2609107494354248,,,,,,
end_reason_leg,quote_fade,bid,3s,1997,271,139,1587,0.1357035553329995,0.06960440660991488,0.7946920380570857,0.04901902743949543,-0.0,0.5107664198772753,0.2609107494354248,,,,,,
end_reason_leg,quote_fade,bid,5s,1997,395,244,1358,0.19779669504256384,0.12218327491236855,0.6800200300450676,0.06552353564731753,-0.0,0.5107664198772753,0.2609107494354248,,,,,,
end_reason_leg,tfi_fade,ask,1s,1157,43,39,1075,0.037165082108902334,0.033707865168539325,0.9291270527225584,0.018017887177838046,-0.0,0.2607526360860444,0.2533121109008789,,,,,,
end_reason_leg,tfi_fade,ask,3s,1157,110,109,938,0.09507346585998272,0.09420916162489196,0.8107173725151253,0.03503024000720021,-0.0,0.2607526360860444,0.2533121109008789,,,,,,
end_reason_leg,tfi_fade,ask,5s,1157,162,165,830,0.14001728608470182,0.14261019878997408,0.7173725151253241,0.02950784982090001,0.0,0.2607526360860444,0.2533121109008789,,,,,,
end_reason_leg,tfi_fade,bid,1s,1088,36,35,1017,0.03308823529411765,0.03216911764705882,0.9347426470588235,0.013127925564529514,0.0,0.2613733250866918,0.2534564733505249,,,,,,
end_reason_leg,tfi_fade,bid,3s,1088,96,100,892,0.08823529411764706,0.09191176470588236,0.8198529411764706,0.02593765521644382,0.0,0.2613733250866918,0.2534564733505249,,,,,,
end_reason_leg,tfi_fade,bid,5s,1088,146,159,783,0.13419117647058823,0.14613970588235295,0.7196691176470589,0.012256364919046692,0.0,0.2613733250866918,0.2534564733505249,,,,,,
