group_type,end_reason,leg,return_horizon,count,success_count,fail_count,neutral_count,success_ratio,fail_ratio,neutral_ratio,mean_directional_ret_bps,median_directional_ret_bps,mean_lifetime_sec,median_lifetime_sec,total_quote_fade_exits,total_tfi_fade_exits,quote_fade_success_ratio_3s,tfi_fade_success_ratio_3s,quote_fade_mean_directional_ret_3s,tfi_fade_mean_directional_ret_3s
overall_metrics,all,all,3s,7193,,,,,,,,,,,4948,2245,0.13924818108326598,0.09175946547884187,0.04614612816174738,0.03062367775671337
end_reason,quote_fade,all,1s,4948,286,134,4528,0.05780113177041229,0.027081649151172192,0.9151172190784155,0.022130737105189383,0.0,0.6310422008521342,0.26221680641174316,,,,,,
end_reason,quote_fade,all,3s,4948,689,362,3897,0.13924818108326598,0.07316087308003234,0.7875909458367018,0.04614612816174738,0.0,0.6310422008521342,0.26221680641174316,,,,,,
end_reason,quote_fade,all,5s,4948,991,613,3344,0.20028294260307195,0.12388843977364591,0.6758286176232822,0.05982657110471155,0.0,0.6310422008521342,0.26221680641174316,,,,,,
end_reason,tfi_fade,all,1s,2245,79,74,2092,0.03518930957683741,0.03296213808463252,0.93184855233853,0.015648052774595425,-0.0,0.2610534421585185,0.2533121109008789,,,,,,
end_reason,tfi_fade,all,3s,2245,206,209,1830,0.09175946547884187,0.0930957683741648,0.8151447661469933,0.03062367775671337,-0.0,0.2610534421585185,0.2533121109008789,,,,,,
end_reason,tfi_fade,all,5s,2245,308,324,1613,0.13719376391982183,0.1443207126948775,0.7184855233853007,0.02114721927603748,0.0,0.2610534421585185,0.2533121109008789,,,,,,
leg,all,ask,1s,3712,195,110,3407,0.0525323275862069,0.029633620689655173,0.9178340517241379,0.023326955048819216,0.0,0.5566157689639206,0.25998973846435547,,,,,,
leg,all,ask,3s,3712,470,301,2941,0.12661637931034483,0.08108836206896551,0.7922952586206896,0.04143819915657086,-0.0,0.5566157689639206,0.25998973846435547,,,,,,
leg,all,ask,5s,3712,680,488,2544,0.18318965517241378,0.1314655172413793,0.6853448275862069,0.04826340179781658,-0.0,0.5566157689639206,0.25998973846435547,,,,,,
leg,all,bid,1s,3481,170,98,3213,0.04883654122378627,0.02815282964665326,0.9230106291295604,0.016674262721696913,0.0,0.4717908799391442,0.2599961757659912,,,,,,
leg,all,bid,3s,3481,425,270,2786,0.12209135305946567,0.07756391841424878,0.8003447285262856,0.04115280154649127,-0.0,0.4717908799391442,0.2599961757659912,,,,,,
leg,all,bid,5s,3481,619,449,2413,0.17782246480896294,0.1289859235851767,0.6931916116058604,0.04718380059409694,0.0,0.4717908799391442,0.2599961757659912,,,,,,
end_reason_leg,quote_fade,ask,1s,2555,152,71,2332,0.05949119373776908,0.027788649706457925,0.912720156555773,0.02573110046045335,-0.0,0.6905937121105754,0.26244187355041504,,,,,,
end_reason_leg,quote_fade,ask,3s,2555,360,192,2003,0.14090019569471623,0.075146771037182,0.7839530332681017,0.04434109999283623,0.0,0.6905937121105754,0.26244187355041504,,,,,,
end_reason_leg,quote_fade,ask,5s,2555,518,323,1714,0.20273972602739726,0.1264187866927593,0.6708414872798435,0.05676993791592411,0.0,0.6905937121105754,0.26244187355041504,,,,,,
end_reason_leg,quote_fade,bid,1s,2393,134,63,2196,0.055996656916005014,0.02632678646050982,0.9176765566234851,0.018286638328465877,-0.0,0.5674592040843461,0.2620656490325928,,,,,,
end_reason_leg,quote_fade,bid,3s,2393,329,170,1894,0.1374843292937735,0.0710405348934392,0.7914751358127873,0.048073403221696745,-0.0,0.5674592040843461,0.2620656490325928,,,,,,
end_reason_leg,quote_fade,bid,5s,2393,473,290,1630,0.19765984120351024,0.12118679481821981,0.68115336397827,0.06309047703380168,-0.0,0.5674592040843461,0.2620656490325928,,,,,,
end_reason_leg,tfi_fade,ask,1s,1157,43,39,1075,0.037165082108902334,0.033707865168539325,0.9291270527225584,0.018017887177838046,-0.0,0.2607526360860444,0.2533121109008789,,,,,,
end_reason_leg,tfi_fade,ask,3s,1157,110,109,938,0.09507346585998272,0.09420916162489196,0.8107173725151253,0.03503024000720021,-0.0,0.2607526360860444,0.2533121109008789,,,,,,
end_reason_leg,tfi_fade,ask,5s,1157,162,165,830,0.14001728608470182,0.14261019878997408,0.7173725151253241,0.02950784982090001,0.0,0.2607526360860444,0.2533121109008789,,,,,,
end_reason_leg,tfi_fade,bid,1s,1088,36,35,1017,0.03308823529411765,0.03216911764705882,0.9347426470588235,0.013127925564529514,0.0,0.2613733250866918,0.2534564733505249,,,,,,
end_reason_leg,tfi_fade,bid,3s,1088,96,100,892,0.08823529411764706,0.09191176470588236,0.8198529411764706,0.02593765521644382,0.0,0.2613733250866918,0.2534564733505249,,,,,,
end_reason_leg,tfi_fade,bid,5s,1088,146,159,783,0.13419117647058823,0.14613970588235295,0.7196691176470589,0.012256364919046692,0.0,0.2613733250866918,0.2534564733505249,,,,,,
