group_type,end_reason,leg,return_horizon,count,success_count,fail_count,neutral_count,success_ratio,fail_ratio,neutral_ratio,mean_directional_ret_bps,median_directional_ret_bps,mean_lifetime_sec,median_lifetime_sec,total_quote_fade_exits,total_tfi_fade_exits,quote_fade_success_ratio_3s,tfi_fade_success_ratio_3s,quote_fade_mean_directional_ret_3s,tfi_fade_mean_directional_ret_3s
overall_metrics,all,all,3s,9866,,,,,,,,,,,7621,2245,0.14656869177273324,0.09175946547884187,0.044863416658733855,0.03062367775671337
end_reason,quote_fade,all,1s,7621,453,219,6949,0.059441018239076236,0.028736386301010365,0.9118225954599134,0.018223368525767475,0.0,3.289012243547178,0.4989497661590576,,,,,,
end_reason,quote_fade,all,3s,7621,1117,602,5902,0.14656869177273324,0.07899225823382758,0.7744390499934392,0.044863416658733855,0.0,3.289012243547178,0.4989497661590576,,,,,,
end_reason,quote_fade,all,5s,7621,1637,972,5012,0.2148012071906574,0.1275423172811967,0.6576564755281459,0.060042855502400905,0.0,3.289012243547178,0.4989497661590576,,,,,,
end_reason,tfi_fade,all,1s,2245,79,74,2092,0.03518930957683741,0.03296213808463252,0.93184855233853,0.015648052774595425,-0.0,0.2610534421585185,0.2533121109008789,,,,,,
end_reason,tfi_fade,all,3s,2245,206,209,1830,0.09175946547884187,0.0930957683741648,0.8151447661469933,0.03062367775671337,-0.0,0.2610534421585185,0.2533121109008789,,,,,,
end_reason,tfi_fade,all,5s,2245,308,324,1613,0.13719376391982183,0.1443207126948775,0.7184855233853007,0.02114721927603748,0.0,0.2610534421585185,0.2533121109008789,,,,,,
leg,all,ask,1s,5222,297,161,4764,0.05687476062811184,0.030831099195710455,0.9122941401761777,0.020681961743105097,0.0,4.0531168153851205,0.26481449604034424,,,,,,
leg,all,ask,3s,5222,729,436,4057,0.13960168517809268,0.0834929145921103,0.776905400229797,0.043756059945914735,-0.0,4.0531168153851205,0.26481449604034424,,,,,,
leg,all,ask,5s,5222,1062,696,3464,0.20337035618536958,0.1332822673305247,0.6633473764841057,0.053809968874224644,-0.0,4.0531168153851205,0.26481449604034424,,,,,,
leg,all,bid,1s,4644,235,132,4277,0.050602928509905255,0.028423772609819122,0.9209732988802756,0.014213816923201086,-0.0,0.9660317131304516,0.26311349868774414,,,,,,
leg,all,bid,3s,4644,594,375,3675,0.12790697674418605,0.08074935400516796,0.791343669250646,0.039223376934975906,-0.0,0.9660317131304516,0.26311349868774414,,,,,,
leg,all,bid,5s,4644,883,600,3161,0.19013781223083548,0.12919896640826872,0.6806632213608957,0.048239480229730854,0.0,0.9660317131304516,0.26311349868774414,,,,,,
end_reason_leg,quote_fade,ask,1s,4065,254,122,3689,0.06248462484624846,0.03001230012300123,0.9075030750307503,0.02144022355663867,0.0,5.132517886836297,0.5107402801513672,,,,,,
end_reason_leg,quote_fade,ask,3s,4065,619,327,3119,0.15227552275522754,0.08044280442804429,0.7672816728167282,0.04624025622275834,0.0,5.132517886836297,0.5107402801513672,,,,,,
end_reason_leg,quote_fade,ask,5s,4065,900,531,2634,0.22140221402214022,0.13062730627306274,0.647970479704797,0.06073206433082134,0.0,5.132517886836297,0.5107402801513672,,,,,,
end_reason_leg,quote_fade,bid,1s,3556,199,97,3260,0.05596175478065242,0.027277840269966255,0.9167604049493814,0.014546058148801388,0.0,1.1816302300572261,0.4963151216506958,,,,,,
end_reason_leg,quote_fade,bid,3s,3556,498,275,2783,0.14004499437570303,0.07733408323959505,0.7826209223847019,0.043289443103685515,0.0,1.1816302300572261,0.4963151216506958,,,,,,
end_reason_leg,quote_fade,bid,5s,3556,737,441,2378,0.20725534308211474,0.12401574803149606,0.6687289088863893,0.059255132862827166,0.0,1.1816302300572261,0.4963151216506958,,,,,,
end_reason_leg,tfi_fade,ask,1s,1157,43,39,1075,0.037165082108902334,0.033707865168539325,0.9291270527225584,0.018017887177838046,-0.0,0.2607526360860444,0.2533121109008789,,,,,,
end_reason_leg,tfi_fade,ask,3s,1157,110,109,938,0.09507346585998272,0.09420916162489196,0.8107173725151253,0.03503024000720021,-0.0,0.2607526360860444,0.2533121109008789,,,,,,
end_reason_leg,tfi_fade,ask,5s,1157,162,165,830,0.14001728608470182,0.14261019878997408,0.7173725151253241,0.02950784982090001,0.0,0.2607526360860444,0.2533121109008789,,,,,,
end_reason_leg,tfi_fade,bid,1s,1088,36,35,1017,0.03308823529411765,0.03216911764705882,0.9347426470588235,0.013127925564529514,0.0,0.2613733250866918,0.2534564733505249,,,,,,
end_reason_leg,tfi_fade,bid,3s,1088,96,100,892,0.08823529411764706,0.09191176470588236,0.8198529411764706,0.02593765521644382,0.0,0.2613733250866918,0.2534564733505249,,,,,,
end_reason_leg,tfi_fade,bid,5s,1088,146,159,783,0.13419117647058823,0.14613970588235295,0.7196691176470589,0.012256364919046692,0.0,0.2613733250866918,0.2534564733505249,,,,,,
