group_type,reason,trade_side,return_horizon,count,success_count,fail_count,neutral_count,success_ratio,fail_ratio,neutral_ratio,mean_directional_ret_bps
reason,cancel_aggressive,,ret_1s_bps,4593,658,439,3496,0.1432614848682778,0.09558023078597866,0.7611582843457435,0.09363212849355901
reason,cancel_aggressive,,ret_3s_bps,4593,1330,962,2301,0.2895710864358807,0.20944916176790768,0.5009797517962117,0.1428482212298321
reason,cancel_aggressive,,ret_5s_bps,4593,1690,1312,1591,0.3679512301328108,0.2856520792510342,0.346396690616155,0.15466613427160839
reason_trade_side,cancel_aggressive,buy,ret_1s_bps,2078,305,221,1552,0.14677574590952838,0.10635226179018287,0.7468719923002888,0.038494068846002885
reason_trade_side,cancel_aggressive,buy,ret_3s_bps,2078,578,489,1011,0.2781520692974013,0.23532242540904716,0.4865255052935515,0.08033661109693063
reason_trade_side,cancel_aggressive,buy,ret_5s_bps,2078,704,692,682,0.3387872954764196,0.33301251203079885,0.32820019249278154,0.05052119242843378
reason_trade_side,cancel_aggressive,sell,ret_1s_bps,2515,353,218,1944,0.14035785288270378,0.08667992047713717,0.772962226640159,0.1444248069079452
reason_trade_side,cancel_aggressive,sell,ret_3s_bps,2515,752,473,1290,0.2990059642147117,0.18807157057654075,0.5129224652087475,0.19729710940273487
reason_trade_side,cancel_aggressive,sell,ret_5s_bps,2515,986,620,909,0.3920477137176938,0.24652087475149106,0.3614314115308151,0.2451931198339196
reason,quote_fade,,ret_1s_bps,1471,183,127,1161,0.12440516655336506,0.08633582596872875,0.7892590074779062,0.30511739486916306
reason,quote_fade,,ret_3s_bps,1471,397,292,782,0.2698844323589395,0.19850441876274644,0.5316111488783141,0.3832804028590142
reason,quote_fade,,ret_5s_bps,1471,506,405,560,0.34398368456832085,0.27532290958531613,0.380693405846363,0.23539084764364762
reason_trade_side,quote_fade,,ret_1s_bps,1471,183,127,1161,0.12440516655336506,0.08633582596872875,0.7892590074779062,0.30511739486916306
reason_trade_side,quote_fade,,ret_3s_bps,1471,397,292,782,0.2698844323589395,0.19850441876274644,0.5316111488783141,0.3832804028590142
reason_trade_side,quote_fade,,ret_5s_bps,1471,506,405,560,0.34398368456832085,0.27532290958531613,0.380693405846363,0.23539084764364762
