scenario,in_quote,trade_side,event_count,duration_sec,events_per_sec,mean_tfi,median_tfi,mean_spread_bps,median_spread_bps
15bps,true,buy,3,3.516270399093628,0.8531767069942333,0.35875642214524534,0.7560975609756095,0.04330032787158969,0.043297634432718855
15bps,true,sell,5,3.516270399093628,1.4219611783237223,-0.38429041249893015,-0.6508087535680313,0.04333933052164613,0.04333685084200588
15bps,false,buy,981,590.88232588768,1.6602290456500757,0.19084135806207872,0.363720930232558,0.04332793891516478,0.04333027854964146
15bps,false,sell,988,590.88232588768,1.6720757360879457,-0.20091996390354205,-0.5104039167686655,0.04332559269109349,0.04332746246311545
15bps,all_quote,all,8,3.516270399093628,2.2751378853179554,-0.10564784950736439,-0.47962291067059926,0.043324704527874965,0.04333553622485109
15bps,all_non_quote,all,1969,590.88232588768,3.332304781738021,-0.005735679064398146,0.019573727707698975,0.04332676163259332,0.04332990305028773
18bps,true,buy,5,5.557825326919556,0.8996324472059771,0.5103088048307693,0.6806927944931724,0.04316370628100535,0.04317332579333481
18bps,true,sell,13,5.557825326919556,2.3390443627355406,0.2186483826082934,0.11528764611505805,0.04313426265046537,0.043142034361610196
18bps,false,buy,1092,588.9531908035278,1.8541371658249262,0.262144339674096,0.5120188553627645,0.04316349989359715,0.04316289027243782
18bps,false,sell,1050,588.9531908035278,1.7828241979085828,-0.03230568575849327,-0.06585598124679558,0.04316098704093387,0.04315972335033129
18bps,all_quote,all,18,5.557825326919556,3.2386768099415177,0.2996651665589812,0.6265354068105351,0.04314244143672647,0.043146781309270424
18bps,all_non_quote,all,2142,588.9531908035278,3.636961363733509,0.11780609191302242,0.22732012513034439,0.04316226810307615,0.04316139989582361
