scenario,policy,quote_ts,leg,tfi_at_quote,would_suppress,suppress_reason,original_end_reason,quote_lifetime_sec,cancel_aggressive_count_during_quote,quote_fade_count_during_quote,tfi_fade_count_during_quote
15bps,A_current,1777017777.356769,bid,-0.6793893129770994,False,,tfi_fade,0.24472284317016602,0,0,1
15bps,B_tfi_0p6,1777017777.356769,bid,-0.6793893129770994,True,tfi<=-0.6,tfi_fade,0.24472284317016602,0,0,1
15bps,C_tfi_0p7,1777017777.356769,bid,-0.6793893129770994,False,,tfi_fade,0.24472284317016602,0,0,1
15bps,D_tfi_0p8,1777017777.356769,bid,-0.6793893129770994,False,,tfi_fade,0.24472284317016602,0,0,1
15bps,A_current,1777017777.3577561,ask,-0.6793893129770994,False,,tfi_fade,0.24373579025268555,0,0,1
15bps,B_tfi_0p6,1777017777.3577561,ask,-0.6793893129770994,False,,tfi_fade,0.24373579025268555,0,0,1
15bps,C_tfi_0p7,1777017777.3577561,ask,-0.6793893129770994,False,,tfi_fade,0.24373579025268555,0,0,1
15bps,D_tfi_0p8,1777017777.3577561,ask,-0.6793893129770994,False,,tfi_fade,0.24373579025268555,0,0,1
15bps,A_current,1777017777.6034918,bid,-0.6793893129770994,False,,tfi_fade,0.24950098991394043,0,0,1
15bps,B_tfi_0p6,1777017777.6034918,bid,-0.6793893129770994,True,tfi<=-0.6,tfi_fade,0.24950098991394043,0,0,1
15bps,C_tfi_0p7,1777017777.6034918,bid,-0.6793893129770994,False,,tfi_fade,0.24950098991394043,0,0,1
15bps,D_tfi_0p8,1777017777.6034918,bid,-0.6793893129770994,False,,tfi_fade,0.24950098991394043,0,0,1
15bps,A_current,1777017777.6034918,ask,-0.6793893129770994,False,,tfi_fade,0.24950098991394043,0,0,1
15bps,B_tfi_0p6,1777017777.6034918,ask,-0.6793893129770994,False,,tfi_fade,0.24950098991394043,0,0,1
15bps,C_tfi_0p7,1777017777.6034918,ask,-0.6793893129770994,False,,tfi_fade,0.24950098991394043,0,0,1
