scenario,quote_ts,leg,price,qty,end_ts,end_reason,quote_lifetime_sec,cancel_aggressive_count_during_quote,quote_fade_count_during_quote,tfi_fade_count_during_quote
15bps,1777017777.356769,bid,2302.84,0.21,1777017777.601492,tfi_fade,0.24472284317016602,0,0,1
15bps,1777017777.3577561,ask,2313.23,0.25,1777017777.601492,tfi_fade,0.24373579025268555,0,0,1
15bps,1777017777.6034918,bid,2302.81,0.21,1777017777.8529928,tfi_fade,0.24950098991394043,0,0,1
15bps,1777017777.6034918,ask,2313.2000000000003,0.25,1777017777.8529928,tfi_fade,0.24950098991394043,0,0,1
15bps,1777017777.8554993,bid,2302.82,0.21,1777017778.1000412,cancel_aggressive,0.24454188346862793,1,0,0
15bps,1777017777.8554993,ask,2313.21,0.25,1777017778.1000412,cancel_aggressive,0.24454188346862793,1,0,0
15bps,1777017992.0071201,bid,2303.88,0.21,1777017992.2570283,cancel_aggressive,0.2499082088470459,1,0,0
15bps,1777017992.0071201,ask,2310.8,0.25,1777017992.2570283,cancel_aggressive,0.2499082088470459,1,0,0
15bps,1777018051.768666,bid,2304.27,0.21,1777018052.0028324,cancel_aggressive,0.23416638374328613,1,0,0
15bps,1777018051.768666,ask,2314.65,0.26,1777018052.0028324,cancel_aggressive,0.23416638374328613,1,0,0
15bps,1777018065.989623,bid,2305.84,0.21,1777018066.2356172,tfi_fade,0.24599409103393555,0,0,1
15bps,1777018065.989623,ask,2316.23,0.25,1777018066.2356172,tfi_fade,0.24599409103393555,0,0,1
15bps,1777018066.2391245,bid,2305.88,0.21,1777018066.4994864,tfi_fade,0.260361909866333,0,0,1
15bps,1777018066.2391245,ask,2316.29,0.25,1777018066.4994864,tfi_fade,0.260361909866333,0,0,1
15bps,1777018066.5024848,bid,2305.9700000000003,0.21,1777018066.763633,quote_fade,0.26114821434020996,0,1,0
15bps,1777018066.5024848,ask,2316.36,0.25,1777018066.763633,quote_fade,0.26114821434020996,0,1,0
15bps,1777018067.015624,bid,2305.9700000000003,0.21,1777018067.2768016,tfi_fade,0.26117753982543945,0,0,1
15bps,1777018067.015624,ask,2316.36,0.25,1777018067.2768016,tfi_fade,0.26117753982543945,0,0,1
15bps,1777018067.2793102,bid,2305.9700000000003,0.21,1777018067.5410852,cancel_aggressive,0.26177501678466797,1,0,0
15bps,1777018067.2793102,ask,2316.36,0.25,1777018067.5410852,cancel_aggressive,0.26177501678466797,1,0,0
15bps,1777018195.0061872,bid,2300.42,0.21,1777018195.2557619,cancel_aggressive,0.2495746612548828,1,0,0
15bps,1777018195.0061872,ask,2310.8,0.25,1777018195.2557619,cancel_aggressive,0.2495746612548828,1,0,0
15bps,1777018199.0117416,bid,2299.96,0.21,1777018199.2637885,cancel_aggressive,0.2520468235015869,1,0,0
15bps,1777018199.0127413,ask,2310.33,0.26,1777018199.2637885,cancel_aggressive,0.25104713439941406,1,0,0
15bps,1777018251.1800282,bid,2304.1,0.21,1777018251.429111,cancel_aggressive,0.2490828037261963,1,0,0
15bps,1777018251.1800282,ask,2311.03,0.25,1777018251.429111,cancel_aggressive,0.2490828037261963,1,0,0
15bps,1777018288.8058763,bid,2299.98,0.21,1777018289.0581453,cancel_aggressive,0.25226902961730957,1,0,0
15bps,1777018288.8058763,ask,2310.35,0.26,1777018289.0581453,cancel_aggressive,0.25226902961730957,1,0,0
18bps,1777018572.855171,bid,2311.83,0.21,1777018573.1014016,cancel_aggressive,0.2462306022644043,1,0,0
18bps,1777018572.856172,ask,2324.34,0.25,1777018573.1014016,cancel_aggressive,0.24522948265075684,1,0,0
18bps,1777018573.3473864,bid,2311.46,0.21,1777018573.6015365,cancel_aggressive,0.2541501522064209,1,0,0
18bps,1777018573.3473864,ask,2323.9700000000003,0.25,1777018573.6015365,cancel_aggressive,0.2541501522064209,1,0,0
18bps,1777018581.1001105,bid,2312.0,0.21,1777018581.3591802,cancel_aggressive,0.25906968116760254,1,0,0
18bps,1777018581.1001105,ask,2320.34,0.25,1777018581.3591802,cancel_aggressive,0.25906968116760254,1,0,0
18bps,1777018581.604276,bid,2311.92,0.21,1777018581.855338,cancel_aggressive,0.25106215476989746,1,0,0
18bps,1777018581.604276,ask,2324.42,0.25,1777018581.855338,cancel_aggressive,0.25106215476989746,1,0,0
18bps,1777018622.80497,bid,2309.92,0.21,1777018623.068418,cancel_aggressive,0.26344799995422363,1,0,0
18bps,1777018622.805969,ask,2322.42,0.25,1777018623.068418,cancel_aggressive,0.2624490261077881,1,0,0
18bps,1777018632.0668876,bid,2311.04,0.21,1777018632.2969475,cancel_aggressive,0.23005986213684082,1,0,0
18bps,1777018632.0668876,ask,2323.55,0.25,1777018632.2969475,cancel_aggressive,0.23005986213684082,1,0,0
18bps,1777018745.305286,bid,2313.48,0.21,1777018745.575727,cancel_aggressive,0.27044105529785156,1,0,0
18bps,1777018745.305286,ask,2326.0,0.25,1777018745.575727,cancel_aggressive,0.27044105529785156,1,0,0
18bps,1777018766.5049949,bid,2313.73,0.21,1777018766.7669568,cancel_aggressive,0.2619619369506836,1,0,0
18bps,1777018766.5049949,ask,2326.26,0.25,1777018766.7669568,cancel_aggressive,0.2619619369506836,1,0,0
18bps,1777018790.6030629,bid,2312.85,0.21,1777018790.8610182,cancel_aggressive,0.25795531272888184,1,0,0
18bps,1777018790.6030629,ask,2321.19,0.25,1777018790.8610182,cancel_aggressive,0.25795531272888184,1,0,0
18bps,1777018792.1463847,bid,2312.61,0.21,1777018792.940164,cancel_aggressive,0.7937793731689453,1,0,0
18bps,1777018792.1473827,ask,2320.96,0.25,1777018792.940164,cancel_aggressive,0.7927813529968262,1,0,0
18bps,1777018792.4111507,bid,2312.63,0.21,1777018792.940164,cancel_aggressive,0.5290133953094482,1,0,0
18bps,1777018792.4121509,ask,2320.9700000000003,0.25,1777018792.940164,cancel_aggressive,0.5280132293701172,1,0,0
18bps,1777018792.675962,bid,2312.63,0.21,1777018792.940164,cancel_aggressive,0.2642021179199219,1,0,0
18bps,1777018792.675962,ask,2320.9700000000003,0.25,1777018792.940164,cancel_aggressive,0.2642021179199219,1,0,0
18bps,1777018853.0694318,bid,2315.2400000000002,0.21,1777018853.5534058,cancel_aggressive,0.48397397994995117,1,0,0
18bps,1777018853.0694318,ask,2323.59,0.25,1777018853.5534058,cancel_aggressive,0.48397397994995117,1,0,0
