ts,funding_bps,cost_bps,adverse_buffer_bps,original_expected_spread_bps,original_expected_edge_bps,required_half_bps,scenario_half_bps,scenario_expected_spread_bps,scenario_edge_bps,scenario_pass
1777003449.6314843,0.45,28.0,2.0,16.0,-13.55,14.775,8.0,16.0,-13.55,False
1777003449.6314843,0.45,28.0,2.0,16.0,-13.55,14.775,10.0,20.0,-9.55,False
1777003449.6314843,0.45,28.0,2.0,16.0,-13.55,14.775,12.0,24.0,-5.550000000000001,False
1777003449.6314843,0.45,28.0,2.0,16.0,-13.55,14.775,14.0,28.0,-1.5500000000000007,False
1777003449.6314843,0.45,28.0,2.0,16.0,-13.55,14.775,15.0,30.0,0.4499999999999993,True
1777003449.6314843,0.45,28.0,2.0,16.0,-13.55,14.775,16.0,32.0,2.450000000000003,True
1777003449.6314843,0.45,28.0,2.0,16.0,-13.55,14.775,18.0,36.0,6.450000000000003,True
1777003449.6314843,0.45,28.0,2.0,16.0,-13.55,14.775,20.0,40.0,10.450000000000003,True
1777009935.5761006,0.39,28.0,2.0,16.0,-13.61,14.805,8.0,16.0,-13.61,False
1777009935.5761006,0.39,28.0,2.0,16.0,-13.61,14.805,10.0,20.0,-9.61,False
1777009935.5761006,0.39,28.0,2.0,16.0,-13.61,14.805,12.0,24.0,-5.609999999999999,False
1777009935.5761006,0.39,28.0,2.0,16.0,-13.61,14.805,14.0,28.0,-1.6099999999999994,False
1777009935.5761006,0.39,28.0,2.0,16.0,-13.61,14.805,15.0,30.0,0.39000000000000057,True
1777009935.5761006,0.39,28.0,2.0,16.0,-13.61,14.805,16.0,32.0,2.3900000000000006,True
1777009935.5761006,0.39,28.0,2.0,16.0,-13.61,14.805,18.0,36.0,6.390000000000001,True
1777009935.5761006,0.39,28.0,2.0,16.0,-13.61,14.805,20.0,40.0,10.39,True
1777012569.2371469,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,8.0,16.0,-13.530000000000001,False
1777012569.2371469,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,10.0,20.0,-9.530000000000001,False
1777012569.2371469,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,12.0,24.0,-5.530000000000001,False
1777012569.2371469,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,14.0,28.0,-1.5300000000000011,False
1777012569.2371469,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,15.0,30.0,0.46999999999999886,True
1777012569.2371469,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,16.0,32.0,2.469999999999999,True
1777012569.2371469,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,18.0,36.0,6.469999999999999,True
1777012569.2371469,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,20.0,40.0,10.469999999999999,True
1777012571.81903,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,8.0,16.0,-13.530000000000001,False
1777012571.81903,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,10.0,20.0,-9.530000000000001,False
1777012571.81903,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,12.0,24.0,-5.530000000000001,False
1777012571.81903,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,14.0,28.0,-1.5300000000000011,False
1777012571.81903,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,15.0,30.0,0.46999999999999886,True
1777012571.81903,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,16.0,32.0,2.469999999999999,True
1777012571.81903,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,18.0,36.0,6.469999999999999,True
1777012571.81903,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,20.0,40.0,10.469999999999999,True
1777012572.072258,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,8.0,16.0,-13.530000000000001,False
1777012572.072258,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,10.0,20.0,-9.530000000000001,False
1777012572.072258,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,12.0,24.0,-5.530000000000001,False
1777012572.072258,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,14.0,28.0,-1.5300000000000011,False
1777012572.072258,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,15.0,30.0,0.46999999999999886,True
1777012572.072258,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,16.0,32.0,2.469999999999999,True
1777012572.072258,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,18.0,36.0,6.469999999999999,True
1777012572.072258,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,20.0,40.0,10.469999999999999,True
1777012572.3141446,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,8.0,16.0,-13.530000000000001,False
1777012572.3141446,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,10.0,20.0,-9.530000000000001,False
1777012572.3141446,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,12.0,24.0,-5.530000000000001,False
1777012572.3141446,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,14.0,28.0,-1.5300000000000011,False
1777012572.3141446,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,15.0,30.0,0.46999999999999886,True
1777012572.3141446,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,16.0,32.0,2.469999999999999,True
1777012572.3141446,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,18.0,36.0,6.469999999999999,True
1777012572.3141446,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,20.0,40.0,10.469999999999999,True
1777012572.5707943,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,8.0,16.0,-13.530000000000001,False
1777012572.5707943,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,10.0,20.0,-9.530000000000001,False
1777012572.5707943,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,12.0,24.0,-5.530000000000001,False
1777012572.5707943,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,14.0,28.0,-1.5300000000000011,False
1777012572.5707943,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,15.0,30.0,0.46999999999999886,True
1777012572.5707943,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,16.0,32.0,2.469999999999999,True
1777012572.5707943,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,18.0,36.0,6.469999999999999,True
1777012572.5707943,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,20.0,40.0,10.469999999999999,True
1777012572.8360963,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,8.0,16.0,-13.530000000000001,False
1777012572.8360963,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,10.0,20.0,-9.530000000000001,False
1777012572.8360963,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,12.0,24.0,-5.530000000000001,False
1777012572.8360963,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,14.0,28.0,-1.5300000000000011,False
1777012572.8360963,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,15.0,30.0,0.46999999999999886,True
1777012572.8360963,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,16.0,32.0,2.469999999999999,True
1777012572.8360963,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,18.0,36.0,6.469999999999999,True
1777012572.8360963,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,20.0,40.0,10.469999999999999,True
1777012573.085501,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,8.0,16.0,-13.530000000000001,False
1777012573.085501,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,10.0,20.0,-9.530000000000001,False
1777012573.085501,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,12.0,24.0,-5.530000000000001,False
1777012573.085501,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,14.0,28.0,-1.5300000000000011,False
1777012573.085501,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,15.0,30.0,0.46999999999999886,True
1777012573.085501,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,16.0,32.0,2.469999999999999,True
1777012573.085501,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,18.0,36.0,6.469999999999999,True
1777012573.085501,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,20.0,40.0,10.469999999999999,True
1777012573.3501847,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,8.0,16.0,-13.530000000000001,False
1777012573.3501847,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,10.0,20.0,-9.530000000000001,False
1777012573.3501847,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,12.0,24.0,-5.530000000000001,False
1777012573.3501847,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,14.0,28.0,-1.5300000000000011,False
1777012573.3501847,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,15.0,30.0,0.46999999999999886,True
1777012573.3501847,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,16.0,32.0,2.469999999999999,True
1777012573.3501847,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,18.0,36.0,6.469999999999999,True
1777012573.3501847,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,20.0,40.0,10.469999999999999,True
1777012577.7301173,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,8.0,16.0,-13.530000000000001,False
1777012577.7301173,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,10.0,20.0,-9.530000000000001,False
1777012577.7301173,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,12.0,24.0,-5.530000000000001,False
1777012577.7301173,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,14.0,28.0,-1.5300000000000011,False
1777012577.7301173,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,15.0,30.0,0.46999999999999886,True
1777012577.7301173,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,16.0,32.0,2.469999999999999,True
1777012577.7301173,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,18.0,36.0,6.469999999999999,True
1777012577.7301173,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,20.0,40.0,10.469999999999999,True
1777012577.9966428,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,8.0,16.0,-13.530000000000001,False
1777012577.9966428,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,10.0,20.0,-9.530000000000001,False
1777012577.9966428,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,12.0,24.0,-5.530000000000001,False
1777012577.9966428,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,14.0,28.0,-1.5300000000000011,False
1777012577.9966428,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,15.0,30.0,0.46999999999999886,True
1777012577.9966428,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,16.0,32.0,2.469999999999999,True
1777012577.9966428,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,18.0,36.0,6.469999999999999,True
1777012577.9966428,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,20.0,40.0,10.469999999999999,True
1777012578.2609212,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,8.0,16.0,-13.530000000000001,False
1777012578.2609212,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,10.0,20.0,-9.530000000000001,False
1777012578.2609212,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,12.0,24.0,-5.530000000000001,False
1777012578.2609212,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,14.0,28.0,-1.5300000000000011,False
1777012578.2609212,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,15.0,30.0,0.46999999999999886,True
1777012578.2609212,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,16.0,32.0,2.469999999999999,True
1777012578.2609212,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,18.0,36.0,6.469999999999999,True
1777012578.2609212,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,20.0,40.0,10.469999999999999,True
1777012581.3960662,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,8.0,16.0,-13.530000000000001,False
1777012581.3960662,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,10.0,20.0,-9.530000000000001,False
1777012581.3960662,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,12.0,24.0,-5.530000000000001,False
1777012581.3960662,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,14.0,28.0,-1.5300000000000011,False
1777012581.3960662,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,15.0,30.0,0.46999999999999886,True
1777012581.3960662,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,16.0,32.0,2.469999999999999,True
1777012581.3960662,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,18.0,36.0,6.469999999999999,True
1777012581.3960662,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,20.0,40.0,10.469999999999999,True
1777012581.641427,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,8.0,16.0,-13.530000000000001,False
1777012581.641427,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,10.0,20.0,-9.530000000000001,False
1777012581.641427,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,12.0,24.0,-5.530000000000001,False
1777012581.641427,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,14.0,28.0,-1.5300000000000011,False
1777012581.641427,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,15.0,30.0,0.46999999999999886,True
1777012581.641427,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,16.0,32.0,2.469999999999999,True
1777012581.641427,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,18.0,36.0,6.469999999999999,True
1777012581.641427,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,20.0,40.0,10.469999999999999,True
1777012587.4708855,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,8.0,16.0,-13.530000000000001,False
1777012587.4708855,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,10.0,20.0,-9.530000000000001,False
1777012587.4708855,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,12.0,24.0,-5.530000000000001,False
1777012587.4708855,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,14.0,28.0,-1.5300000000000011,False
1777012587.4708855,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,15.0,30.0,0.46999999999999886,True
1777012587.4708855,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,16.0,32.0,2.469999999999999,True
1777012587.4708855,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,18.0,36.0,6.469999999999999,True
1777012587.4708855,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,20.0,40.0,10.469999999999999,True
1777012593.9773207,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,8.0,16.0,-13.530000000000001,False
1777012593.9773207,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,10.0,20.0,-9.530000000000001,False
1777012593.9773207,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,12.0,24.0,-5.530000000000001,False
1777012593.9773207,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,14.0,28.0,-1.5300000000000011,False
1777012593.9773207,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,15.0,30.0,0.46999999999999886,True
1777012593.9773207,0.47,28.0,2.0,16.0,-13.530000000000001,14.765,16.0,32.0,2.469999999999999,True
