cancel_aggressive_policy,trade_side,return_horizon,count,safe_count,unsafe_count,neutral_count,safe_ratio,unsafe_ratio,neutral_ratio,mean_directional_ret_bps,median_directional_ret_bps
overlap_or_strong_tfi,buy,1s,105,0,11,94,0.0,0.10476190476190476,0.8952380952380953,0.08073290648072456,0.0
overlap_or_strong_tfi,buy,3s,105,12,19,74,0.11428571428571428,0.18095238095238095,0.7047619047619048,0.03173649590001713,0.0
overlap_or_strong_tfi,buy,5s,105,15,29,61,0.14285714285714285,0.2761904761904762,0.580952380952381,-0.00818224621888881,0.0
overlap_or_strong_tfi,sell,1s,169,7,23,139,0.04142011834319527,0.13609467455621302,0.8224852071005917,0.1233341967130176,-0.0
overlap_or_strong_tfi,sell,3s,169,15,37,117,0.08875739644970414,0.21893491124260356,0.6923076923076923,0.1660635413979956,-0.0
overlap_or_strong_tfi,sell,5s,169,28,60,81,0.16568047337278108,0.35502958579881655,0.47928994082840237,0.16660539042778247,-0.0
overlap_quote_fade_only,buy,1s,454,49,59,346,0.10792951541850221,0.1299559471365639,0.762114537444934,0.06741893728641493,0.0
overlap_quote_fade_only,buy,3s,454,128,100,226,0.28193832599118945,0.22026431718061673,0.4977973568281938,0.06306751719943841,0.0
overlap_quote_fade_only,buy,5s,454,176,129,149,0.3876651982378855,0.2841409691629956,0.32819383259911894,0.10167027875480264,0.0
overlap_quote_fade_only,sell,1s,621,40,78,503,0.0644122383252818,0.12560386473429952,0.8099838969404187,0.03215874612556524,-0.0
overlap_quote_fade_only,sell,3s,621,114,179,328,0.18357487922705315,0.2882447665056361,0.5281803542673108,0.0007093539379455763,-0.0
overlap_quote_fade_only,sell,5s,621,137,255,229,0.22061191626409019,0.4106280193236715,0.3687600644122383,0.06406711318947957,-0.0
