group_type,end_reason,leg,return_horizon,count,success_count,fail_count,neutral_count,success_ratio,fail_ratio,neutral_ratio,mean_directional_ret_bps,median_directional_ret_bps,mean_lifetime_sec,median_lifetime_sec,total_quote_fade_exits,total_tfi_fade_exits,quote_fade_success_ratio_3s,tfi_fade_success_ratio_3s,quote_fade_mean_directional_ret_3s,tfi_fade_mean_directional_ret_3s
overall_metrics,all,all,3s,2661,,,,,,,,,,,1506,1155,0.10823373173970784,0.08571428571428572,0.042454902317798436,0.00048489007666451027
end_reason,quote_fade,all,1s,1506,65,26,1415,0.04316069057104914,0.017264276228419653,0.9395750332005313,0.015833518887679223,0.0,0.30714230043479646,0.2548239231109619,,,,,,
end_reason,quote_fade,all,3s,1506,163,90,1253,0.10823373173970784,0.05976095617529881,0.8320053120849934,0.042454902317798436,0.0,0.30714230043479646,0.2548239231109619,,,,,,
end_reason,quote_fade,all,5s,1506,264,159,1083,0.1752988047808765,0.10557768924302789,0.7191235059760956,0.062272019085977466,0.0,0.30714230043479646,0.2548239231109619,,,,,,
end_reason,tfi_fade,all,1s,1155,34,38,1083,0.02943722943722944,0.0329004329004329,0.9376623376623376,0.002642772409949368,0.0,0.2605796326806535,0.25679516792297363,,,,,,
end_reason,tfi_fade,all,3s,1155,99,110,946,0.08571428571428572,0.09523809523809523,0.819047619047619,0.00048489007666451027,-0.0,0.2605796326806535,0.25679516792297363,,,,,,
end_reason,tfi_fade,all,5s,1155,144,164,847,0.12467532467532468,0.141991341991342,0.7333333333333333,-0.010484345467816444,-0.0,0.2605796326806535,0.25679516792297363,,,,,,
leg,all,ask,1s,1349,51,33,1265,0.03780578206078577,0.02446256486286138,0.9377316530763529,0.011503814139678875,-0.0,0.28617307272021025,0.2557952404022217,,,,,,
leg,all,ask,3s,1349,135,102,1112,0.10007412898443291,0.07561156412157154,0.8243143068939955,0.02798057886479606,0.0,0.28617307272021025,0.2557952404022217,,,,,,
leg,all,ask,5s,1349,208,161,980,0.1541882876204596,0.11934766493699037,0.72646404744255,0.03717417765101974,0.0,0.28617307272021025,0.2557952404022217,,,,,,
leg,all,bid,1s,1312,48,31,1233,0.036585365853658534,0.023628048780487805,0.9397865853658537,0.008691163703248773,-0.0,0.28771212279069713,0.2559417486190796,,,,,,
leg,all,bid,3s,1312,127,98,1087,0.09679878048780488,0.07469512195121951,0.8285060975609756,0.020446862340230135,0.0,0.28771212279069713,0.2559417486190796,,,,,,
leg,all,bid,5s,1312,200,162,950,0.1524390243902439,0.12347560975609756,0.7240853658536586,0.024252378308485263,0.0,0.28771212279069713,0.2559417486190796,,,,,,
end_reason_leg,quote_fade,ask,1s,759,33,13,713,0.043478260869565216,0.017127799736495388,0.9393939393939394,0.017187114894715673,0.0,0.3062677933136308,0.2548089027404785,,,,,,
end_reason_leg,quote_fade,ask,3s,759,82,46,631,0.1080368906455863,0.06060606060606061,0.8313570487483531,0.04308610389737968,-0.0,0.3062677933136308,0.2548089027404785,,,,,,
end_reason_leg,quote_fade,ask,5s,759,132,81,546,0.17391304347826086,0.1067193675889328,0.7193675889328063,0.0614638533602675,-0.0,0.3062677933136308,0.2548089027404785,,,,,,
end_reason_leg,quote_fade,bid,1s,747,32,13,702,0.0428380187416332,0.01740294511378849,0.9397590361445783,0.014458178366473525,0.0,0.30803085586312945,0.25489115715026855,,,,,,
end_reason_leg,quote_fade,bid,3s,747,81,44,622,0.10843373493975904,0.058902275769745646,0.8326639892904953,0.04181356095380624,0.0,0.30803085586312945,0.25489115715026855,,,,,,
end_reason_leg,quote_fade,bid,5s,747,132,78,537,0.17670682730923695,0.10441767068273092,0.7188755020080321,0.06309316739362644,0.0,0.30803085586312945,0.25489115715026855,,,,,,
end_reason_leg,tfi_fade,ask,1s,590,18,20,552,0.030508474576271188,0.03389830508474576,0.9355932203389831,0.0041677167364936206,-0.0,0.2603224067364709,0.2565988302230835,,,,,,
end_reason_leg,tfi_fade,ask,3s,590,53,56,481,0.08983050847457627,0.09491525423728814,0.8152542372881356,0.00848212053192023,-0.0,0.2603224067364709,0.2565988302230835,,,,,,
end_reason_leg,tfi_fade,ask,5s,590,76,80,434,0.1288135593220339,0.13559322033898305,0.735593220338983,0.005713659112932564,-0.0,0.2603224067364709,0.2565988302230835,,,,,,
end_reason_leg,tfi_fade,bid,1s,565,16,18,531,0.02831858407079646,0.03185840707964602,0.9398230088495575,0.001052936835467058,-0.0,0.26084824030378223,0.25684213638305664,,,,,,
end_reason_leg,tfi_fade,bid,3s,565,46,54,465,0.08141592920353982,0.09557522123893805,0.8230088495575221,-0.007852648057538263,-0.0,0.26084824030378223,0.25684213638305664,,,,,,
end_reason_leg,tfi_fade,bid,5s,565,68,84,413,0.12035398230088495,0.1486725663716814,0.7309734513274336,-0.027374079781551226,-0.0,0.26084824030378223,0.25684213638305664,,,,,,
