group_type,end_reason,leg,return_horizon,count,success_count,fail_count,neutral_count,success_ratio,fail_ratio,neutral_ratio,mean_directional_ret_bps,median_directional_ret_bps,mean_lifetime_sec,median_lifetime_sec,total_quote_fade_exits,total_tfi_fade_exits,quote_fade_success_ratio_3s,tfi_fade_success_ratio_3s,quote_fade_mean_directional_ret_3s,tfi_fade_mean_directional_ret_3s
overall_metrics,all,all,3s,3603,,,,,,,,,,,2448,1155,0.10743464052287582,0.08658008658008658,0.039541362160206324,-0.0010490466478245222
end_reason,quote_fade,all,1s,2448,106,49,2293,0.04330065359477124,0.020016339869281044,0.9366830065359477,0.016874096872390828,0.0,0.47061554444771186,0.25999605655670166,,,,,,
end_reason,quote_fade,all,3s,2448,263,157,2028,0.10743464052287582,0.06413398692810457,0.8284313725490197,0.039541362160206324,-0.0,0.47061554444771186,0.25999605655670166,,,,,,
end_reason,quote_fade,all,5s,2448,403,271,1774,0.16462418300653595,0.11070261437908496,0.7246732026143791,0.060061166036016994,-0.0,0.47061554444771186,0.25999605655670166,,,,,,
end_reason,tfi_fade,all,1s,1155,35,40,1080,0.030303030303030304,0.03463203463203463,0.935064935064935,0.0011032307962829725,0.0,0.2605796326806535,0.25679516792297363,,,,,,
end_reason,tfi_fade,all,3s,1155,100,112,943,0.08658008658008658,0.09696969696969697,0.8164502164502164,-0.0010490466478245222,-0.0,0.2605796326806535,0.25679516792297363,,,,,,
end_reason,tfi_fade,all,5s,1155,145,170,840,0.12554112554112554,0.1471861471861472,0.7272727272727273,-0.01883202250118585,-0.0,0.2605796326806535,0.25679516792297363,,,,,,
leg,all,ask,1s,1836,73,46,1717,0.039760348583877995,0.02505446623093682,0.9351851851851852,0.01332095991909467,-0.0,0.4073045719942496,0.25884974002838135,,,,,,
leg,all,ask,3s,1836,188,138,1510,0.10239651416122005,0.07516339869281045,0.8224400871459695,0.029737897496360462,0.0,0.4073045719942496,0.25884974002838135,,,,,,
leg,all,ask,5s,1836,281,222,1333,0.15305010893246188,0.12091503267973856,0.7260348583877996,0.03993940860668526,-0.0,0.4073045719942496,0.25884974002838135,,,,,,
leg,all,bid,1s,1767,68,43,1656,0.038483305036785515,0.024335031126202604,0.9371816638370118,0.01024582653496341,-0.0,0.39910873478931025,0.25909948348999023,,,,,,
leg,all,bid,3s,1767,175,131,1461,0.09903791737408037,0.07413695529145445,0.8268251273344652,0.023136384900359526,0.0,0.39910873478931025,0.25909948348999023,,,,,,
leg,all,bid,5s,1767,267,219,1281,0.15110356536502548,0.12393887945670629,0.7249575551782682,0.029227085022506306,-0.0,0.39910873478931025,0.25909948348999023,,,,,,
end_reason_leg,quote_fade,ask,1s,1246,54,25,1167,0.04333868378812199,0.020064205457463884,0.9365971107544141,0.017495246391318994,0.0,0.4769028685448832,0.25995123386383057,,,,,,
end_reason_leg,quote_fade,ask,3s,1246,134,81,1031,0.10754414125200643,0.06500802568218299,0.8274478330658106,0.03967504412302955,0.0,0.4769028685448832,0.25995123386383057,,,,,,
end_reason_leg,quote_fade,ask,5s,1246,204,139,903,0.1637239165329053,0.1115569823434992,0.7247191011235955,0.05927204398623041,0.0,0.4769028685448832,0.25995123386383057,,,,,,
end_reason_leg,quote_fade,bid,1s,1202,52,24,1126,0.04326123128119801,0.019966722129783693,0.9367720465890182,0.016230171871101984,0.0,0.46409806871969567,0.26002371311187744,,,,,,
end_reason_leg,quote_fade,bid,3s,1202,129,76,997,0.10732113144758736,0.0632279534109817,0.829450915141431,0.0394027703423212,0.0,0.46409806871969567,0.26002371311187744,,,,,,
end_reason_leg,quote_fade,bid,5s,1202,199,132,871,0.16555740432612312,0.10981697171381032,0.7246256239600666,0.06087931933178216,0.0,0.46409806871969567,0.26002371311187744,,,,,,
end_reason_leg,tfi_fade,ask,1s,590,19,21,550,0.03220338983050847,0.03559322033898305,0.9322033898305084,0.004519583018336941,-0.0,0.2603224067364709,0.2565988302230835,,,,,,
end_reason_leg,tfi_fade,ask,3s,590,54,57,479,0.09152542372881356,0.09661016949152543,0.811864406779661,0.008819361716151934,-0.0,0.2603224067364709,0.2565988302230835,,,,,,
end_reason_leg,tfi_fade,ask,5s,590,77,83,430,0.13050847457627118,0.14067796610169492,0.7288135593220338,-0.0006918928689690533,-0.0,0.2603224067364709,0.2565988302230835,,,,,,
end_reason_leg,tfi_fade,bid,1s,565,16,19,530,0.02831858407079646,0.033628318584070796,0.9380530973451328,-0.002464287453295512,-0.0,0.26084824030378223,0.25684213638305664,,,,,,
end_reason_leg,tfi_fade,bid,3s,565,46,55,464,0.08141592920353982,0.09734513274336283,0.8212389380530973,-0.011354110249145071,-0.0,0.26084824030378223,0.25684213638305664,,,,,,
end_reason_leg,tfi_fade,bid,5s,565,68,87,410,0.12035398230088495,0.15398230088495576,0.7256637168141593,-0.03777481273659813,-0.0,0.26084824030378223,0.25684213638305664,,,,,,
