group_type,end_reason,leg,return_horizon,count,success_count,fail_count,neutral_count,success_ratio,fail_ratio,neutral_ratio,mean_directional_ret_bps,median_directional_ret_bps,mean_lifetime_sec,median_lifetime_sec,total_quote_fade_exits,total_tfi_fade_exits,quote_fade_success_ratio_3s,tfi_fade_success_ratio_3s,quote_fade_mean_directional_ret_3s,tfi_fade_mean_directional_ret_3s
overall_metrics,all,all,3s,5610,,,,,,,,,,,3365,2245,0.10163447251114413,0.08997772828507795,0.03481878285060672,0.0037754002793225776
end_reason,quote_fade,all,1s,3365,131,73,3161,0.038930163447251115,0.021693907875185735,0.9393759286775631,0.007624965543600033,-0.0,0.4582467217324924,0.25866222381591797,,,,,,
end_reason,quote_fade,all,3s,3365,342,205,2818,0.10163447251114413,0.06092124814264487,0.837444279346211,0.03481878285060672,-0.0,0.4582467217324924,0.25866222381591797,,,,,,
end_reason,quote_fade,all,5s,3365,539,350,2476,0.16017830609212483,0.10401188707280833,0.7358098068350669,0.05609169719730545,0.0,0.4582467217324924,0.25866222381591797,,,,,,
end_reason,tfi_fade,all,1s,2245,77,74,2094,0.03429844097995546,0.03296213808463252,0.9327394209354121,0.002222530633097155,0.0,0.2610534421585185,0.2533121109008789,,,,,,
end_reason,tfi_fade,all,3s,2245,202,209,1834,0.08997772828507795,0.0930957683741648,0.8169265033407572,0.0037754002793225776,-0.0,0.2610534421585185,0.2533121109008789,,,,,,
end_reason,tfi_fade,all,5s,2245,304,324,1617,0.1354120267260579,0.1443207126948775,0.7202672605790645,-0.005717972897436631,0.0,0.2610534421585185,0.2533121109008789,,,,,,
leg,all,ask,1s,2871,110,76,2685,0.038314176245210725,0.02647161267850923,0.93521421107628,0.007128895611802487,0.0,0.3820451746747619,0.25643038749694824,,,,,,
leg,all,ask,3s,2871,284,214,2373,0.09892023685127134,0.07453848833159178,0.8265412748171369,0.025145173387795282,0.0,0.3820451746747619,0.25643038749694824,,,,,,
leg,all,ask,5s,2871,436,343,2092,0.1518634622082898,0.11947056774642982,0.7286659700452804,0.035513091533074866,0.0,0.3820451746747619,0.25643038749694824,,,,,,
leg,all,bid,1s,2739,98,71,2570,0.035779481562614096,0.025921869295363272,0.9382986491420227,0.003719216529721668,0.0,0.37649269798629775,0.25678563117980957,,,,,,
leg,all,bid,3s,2739,260,200,2279,0.09492515516611902,0.07301935012778386,0.8320554947060971,0.019541239995860025,0.0,0.37649269798629775,0.25678563117980957,,,,,,
leg,all,bid,5s,2739,407,331,2001,0.14859437751004015,0.1208470244614823,0.7305585980284776,0.027054265326045,0.0,0.37649269798629775,0.25678563117980957,,,,,,
end_reason_leg,quote_fade,ask,1s,1714,68,37,1609,0.039673278879813305,0.021586931155192533,0.9387397899649942,0.008568031549346223,0.0,0.4639211765109032,0.2585611343383789,,,,,,
end_reason_leg,quote_fade,ask,3s,1714,176,105,1433,0.10268378063010501,0.061260210035005834,0.8360560093348891,0.036030488348998795,0.0,0.4639211765109032,0.2585611343383789,,,,,,
end_reason_leg,quote_fade,ask,5s,1714,276,178,1260,0.16102683780630106,0.10385064177362893,0.73512252042007,0.057112730241855494,0.0,0.4639211765109032,0.2585611343383789,,,,,,
end_reason_leg,quote_fade,bid,1s,1651,63,36,1552,0.03815869170199879,0.021804966686856452,0.9400363416111448,0.006645913372885962,0.0,0.4523557371836153,0.258760929107666,,,,,,
end_reason_leg,quote_fade,bid,3s,1651,166,100,1385,0.10054512416717142,0.06056935190793458,0.838885523924894,0.03356084025566797,0.0,0.4523557371836153,0.258760929107666,,,,,,
end_reason_leg,quote_fade,bid,5s,1651,263,172,1216,0.15929739551786795,0.10417928528164748,0.7365233192004845,0.055031702867590654,-0.0,0.4523557371836153,0.258760929107666,,,,,,
end_reason_leg,tfi_fade,ask,1s,1157,42,39,1076,0.036300777873811585,0.033707865168539325,0.9299913569576491,0.004995090251119129,-0.0,0.2607526360860444,0.2533121109008789,,,,,,
end_reason_leg,tfi_fade,ask,3s,1157,108,109,940,0.09334485738980121,0.09420916162489196,0.8124459809853068,0.00899155447567171,-0.0,0.2607526360860444,0.2533121109008789,,,,,,
end_reason_leg,tfi_fade,ask,5s,1157,160,165,832,0.13828867761452032,0.14261019878997408,0.7191011235955056,0.0034596017089623394,0.0,0.2607526360860444,0.2533121109008789,,,,,,
end_reason_leg,tfi_fade,bid,1s,1088,35,35,1018,0.03216911764705882,0.03216911764705882,0.9356617647058824,-0.000726024029675065,0.0,0.2613733250866918,0.2534564733505249,,,,,,
end_reason_leg,tfi_fade,bid,3s,1088,94,100,894,0.08639705882352941,0.09191176470588236,0.8216911764705882,-0.001772167028949296,0.0,0.2613733250866918,0.2534564733505249,,,,,,
end_reason_leg,tfi_fade,bid,5s,1088,144,159,785,0.1323529411764706,0.14613970588235295,0.7215073529411765,-0.015478653072750473,0.0,0.2613733250866918,0.2534564733505249,,,,,,
