scenario,quote_ts,end_ts,end_reason,leg,side,price,quote_lifetime_sec,mid_at_end,mid_after_1s,ret_1s_bps,mid_after_3s,ret_3s_bps,mid_after_5s,ret_5s_bps,tfi,obi,mid_move_bps,directional_ret_1s_bps,directional_ret_3s_bps,directional_ret_5s_bps,exit_success_1s,exit_success_3s,exit_success_5s
logs,1777017777.356769,1777017777.601492,tfi_fade,bid,buy,2302.84,0.24472284317016602,2310.275,2310.575,1.2985467098060928,2310.575,1.2985467098060928,2310.575,1.2985467098060928,-1.0,0.7538742023701003,,-1.2985467098060928,-1.2985467098060928,-1.2985467098060928,fail,fail,fail
logs,1777017777.3577561,1777017777.601492,tfi_fade,ask,sell,2313.23,0.24373579025268555,2310.275,2310.575,1.2985467098060928,2310.575,1.2985467098060928,2310.575,1.2985467098060928,-1.0,0.7538742023701003,,-1.2985467098060928,-1.2985467098060928,-1.2985467098060928,fail,fail,fail
logs,1777017777.6034918,1777017777.8529928,tfi_fade,bid,buy,2302.81,0.24950098991394043,2310.275,2310.575,1.2985467098060928,2310.575,1.2985467098060928,2310.575,1.2985467098060928,-1.0,0.7913694721825961,,-1.2985467098060928,-1.2985467098060928,-1.2985467098060928,fail,fail,fail
logs,1777017777.6034918,1777017777.8529928,tfi_fade,ask,sell,2313.2000000000003,0.24950098991394043,2310.275,2310.575,1.2985467098060928,2310.575,1.2985467098060928,2310.575,1.2985467098060928,-1.0,0.7913694721825961,,-1.2985467098060928,-1.2985467098060928,-1.2985467098060928,fail,fail,fail
logs,1777018065.989623,1777018066.2356172,tfi_fade,bid,buy,2305.84,0.24599409103393555,2309.5950000000003,2309.5950000000003,0.0,2309.2349999999997,-1.5587148396172579,2309.245,-1.51541720518257,0.8253867344776437,-0.7396421525273829,,0.0,-1.5587148396172579,-1.51541720518257,neutral,fail,fail
logs,1777018065.989623,1777018066.2356172,tfi_fade,ask,sell,2316.23,0.24599409103393555,2309.5950000000003,2309.5950000000003,0.0,2309.2349999999997,-1.5587148396172579,2309.245,-1.51541720518257,0.8253867344776437,-0.7396421525273829,,0.0,-1.5587148396172579,-1.51541720518257,neutral,fail,fail
logs,1777018066.2391245,1777018066.4994864,tfi_fade,bid,buy,2305.88,0.260361909866333,2309.5950000000003,2309.5950000000003,0.0,2309.2349999999997,-1.5587148396172579,2309.245,-1.51541720518257,0.8253867344776437,-0.3748219038146188,,0.0,-1.5587148396172579,-1.51541720518257,neutral,fail,fail
logs,1777018066.2391245,1777018066.4994864,tfi_fade,ask,sell,2316.29,0.260361909866333,2309.5950000000003,2309.5950000000003,0.0,2309.2349999999997,-1.5587148396172579,2309.245,-1.51541720518257,0.8253867344776437,-0.3748219038146188,,0.0,-1.5587148396172579,-1.51541720518257,neutral,fail,fail
logs,1777018066.5024848,1777018066.763633,quote_fade,bid,buy,2305.9700000000003,0.26114821434020996,2309.5950000000003,2309.5950000000003,0.0,2309.2349999999997,-1.5587148396172579,2309.245,-1.51541720518257,0.8253867344776437,-0.44517915677630837,-7.5065005862411365,-0.0,1.5587148396172579,1.51541720518257,neutral,success,success
logs,1777018066.5024848,1777018066.763633,quote_fade,ask,sell,2316.36,0.26114821434020996,2309.5950000000003,2309.5950000000003,0.0,2309.2349999999997,-1.5587148396172579,2309.245,-1.51541720518257,0.8253867344776437,-0.44517915677630837,-7.5065005862411365,-0.0,1.5587148396172579,1.51541720518257,neutral,success,success
