group_type,end_reason,leg,return_horizon,count,success_count,fail_count,neutral_count,success_ratio,fail_ratio,neutral_ratio,mean_directional_ret_bps,median_directional_ret_bps,mean_lifetime_sec,median_lifetime_sec,total_quote_fade_exits,total_tfi_fade_exits,quote_fade_success_ratio_3s,tfi_fade_success_ratio_3s,quote_fade_mean_directional_ret_3s,tfi_fade_mean_directional_ret_3s
overall_metrics,all,all,3s,9066,,,,,,,,,,,6821,2245,0.13370473537604458,0.09175946547884187,0.04334267179876682,0.03062367775671337
end_reason,quote_fade,all,1s,6821,365,182,6274,0.053511215364316085,0.026682304647412402,0.9198064799882715,0.017986750943797213,0.0,3.460083368918253,0.4945676326751709,,,,,,
end_reason,quote_fade,all,3s,6821,912,490,5419,0.13370473537604458,0.0718369740507257,0.7944582905732297,0.04334267179876682,-0.0,3.460083368918253,0.4945676326751709,,,,,,
end_reason,quote_fade,all,5s,6821,1359,799,4663,0.19923764843864536,0.11713824952353027,0.6836241020378243,0.06427187010365494,0.0,3.460083368918253,0.4945676326751709,,,,,,
end_reason,tfi_fade,all,1s,2245,79,74,2092,0.03518930957683741,0.03296213808463252,0.93184855233853,0.015648052774595425,-0.0,0.2610534421585185,0.2533121109008789,,,,,,
end_reason,tfi_fade,all,3s,2245,206,209,1830,0.09175946547884187,0.0930957683741648,0.8151447661469933,0.03062367775671337,-0.0,0.2610534421585185,0.2533121109008789,,,,,,
end_reason,tfi_fade,all,5s,2245,308,324,1613,0.13719376391982183,0.1443207126948775,0.7184855233853007,0.02114721927603748,0.0,0.2610534421585185,0.2533121109008789,,,,,,
leg,all,ask,1s,4736,242,138,4356,0.05109797297297297,0.029138513513513514,0.9197635135135135,0.019921067118901886,0.0,4.269092917442322,0.2625889778137207,,,,,,
leg,all,ask,3s,4736,600,372,3764,0.1266891891891892,0.0785472972972973,0.7947635135135135,0.04085017994462967,-0.0,4.269092917442322,0.2625889778137207,,,,,,
leg,all,ask,5s,4736,887,593,3256,0.18728885135135134,0.12521114864864866,0.6875,0.05446843573145822,0.0,4.269092917442322,0.2625889778137207,,,,,,
leg,all,bid,1s,4330,202,118,4010,0.046651270207852195,0.02725173210161663,0.9260969976905312,0.014658184420586653,-0.0,0.9165980554342821,0.26213157176971436,,,,,,
leg,all,bid,3s,4330,518,327,3485,0.11963048498845266,0.07551963048498846,0.8048498845265589,0.03947291141644494,-0.0,0.9165980554342821,0.26213157176971436,,,,,,
leg,all,bid,5s,4330,780,530,3020,0.18013856812933027,0.12240184757505773,0.6974595842956121,0.05262056753272936,-0.0,0.9165980554342821,0.26213157176971436,,,,,,
end_reason_leg,quote_fade,ask,1s,3579,199,99,3281,0.05560212349818385,0.027661357921207042,0.9167365185806091,0.02053648891650135,0.0,5.564887749945594,0.4960052967071533,,,,,,
end_reason_leg,quote_fade,ask,3s,3579,490,263,2826,0.13690975132718636,0.073484213467449,0.7896060352053647,0.04273214487129417,0.0,5.564887749945594,0.4960052967071533,,,,,,
end_reason_leg,quote_fade,ask,5s,3579,725,428,2426,0.20257055043308186,0.11958647666946075,0.6778429728974574,0.06254432999838083,0.0,5.564887749945594,0.4960052967071533,,,,,,
end_reason_leg,quote_fade,bid,1s,3242,166,83,2993,0.05120296113510179,0.025601480567550895,0.9231955582973473,0.015171890571586397,0.0,1.1364884029414315,0.4902365207672119,,,,,,
end_reason_leg,quote_fade,bid,3s,3242,422,227,2593,0.13016656384947564,0.07001850709438619,0.7998149290561382,0.04401668147062605,0.0,1.1364884029414315,0.4902365207672119,,,,,,
end_reason_leg,quote_fade,bid,5s,3242,634,371,2237,0.19555829734731647,0.11443553362122147,0.6900061690314621,0.06617915118314203,-0.0,1.1364884029414315,0.4902365207672119,,,,,,
end_reason_leg,tfi_fade,ask,1s,1157,43,39,1075,0.037165082108902334,0.033707865168539325,0.9291270527225584,0.018017887177838046,-0.0,0.2607526360860444,0.2533121109008789,,,,,,
end_reason_leg,tfi_fade,ask,3s,1157,110,109,938,0.09507346585998272,0.09420916162489196,0.8107173725151253,0.03503024000720021,-0.0,0.2607526360860444,0.2533121109008789,,,,,,
end_reason_leg,tfi_fade,ask,5s,1157,162,165,830,0.14001728608470182,0.14261019878997408,0.7173725151253241,0.02950784982090001,0.0,0.2607526360860444,0.2533121109008789,,,,,,
end_reason_leg,tfi_fade,bid,1s,1088,36,35,1017,0.03308823529411765,0.03216911764705882,0.9347426470588235,0.013127925564529514,0.0,0.2613733250866918,0.2534564733505249,,,,,,
end_reason_leg,tfi_fade,bid,3s,1088,96,100,892,0.08823529411764706,0.09191176470588236,0.8198529411764706,0.02593765521644382,0.0,0.2613733250866918,0.2534564733505249,,,,,,
end_reason_leg,tfi_fade,bid,5s,1088,146,159,783,0.13419117647058823,0.14613970588235295,0.7196691176470589,0.012256364919046692,0.0,0.2613733250866918,0.2534564733505249,,,,,,
