ts,trade_id,trade_side,trade_px,trade_age_ms,has_active_quote,used_px_source,active_bid_px,active_ask_px,active_bid_qty,active_ask_qty,active_bid_ts,active_ask_ts,proximity_to_active_bid_bps,proximity_to_active_ask_bps,proximity_to_active_quote_bps,proximity_to_best_bps,danger_direction_match,tfi,spread_bps,quote_lifetime_sec,end_reason,quote_fade_nearby,quote_fade_dt_ms,valid_active_cancel_candidate
1777122048.0551007,1431919142070108164,sell,2313.21,138.10062408447266,True,active_quote,2308.9500000000003,2317.28,0.21,0.25,1777122047.5541072,1777122047.5541072,18.449944780093823,17.56369536698268,18.449944780093823,0.04323015735871641,True,-1.0,0.04323006391659312,0.5009934902191162,cancel_aggressive,True,782.5164794921875,False
1777122048.5698261,1431919142070108164,sell,2313.21,652.8260707855225,True,active_quote,2304.23,2316.71,0.21,0.25,1777122048.3232348,1777122048.3232348,38.97180402997972,15.107631080281951,38.97180402997972,0.04323015735871641,True,-1.0,0.04323006391659312,0.24659132957458496,cancel_aggressive,True,267.7910327911377,False
1777122049.323295,1431919142070108164,sell,2313.21,1406.2950611114502,True,active_quote,2304.25,2316.73,0.21,0.25,1777122049.0756857,1777122049.0756857,38.88466963220153,15.193829233445337,38.88466963220153,0.04323015735871641,True,-1.0,0.04323006391659312,0.24760937690734863,cancel_aggressive,True,-485.67795753479004,False
1777122049.823716,1431919142070108164,sell,2313.21,1906.7158699035645,True,active_quote,2304.23,2316.71,0.21,0.25,1777122049.5746622,1777122049.5746622,38.97180402997972,15.107631080281951,38.97180402997972,0.04323015735871641,True,-1.0,0.04323006391659312,0.2490537166595459,cancel_aggressive,True,247.69926071166992,False
1777122051.5714774,1431919142070108164,sell,2313.21,3654.47735786438,True,active_quote,2304.3,2316.78,0.21,0.25,1777122051.3365052,1777122051.3365052,38.66684025517447,15.409318105302027,38.66684025517447,0.04323015735871641,True,-1.0,0.04323006391659312,0.23497223854064941,cancel_aggressive,True,-486.47212982177734,False
1777122052.0683377,1431919142070108164,sell,2313.21,4151.337623596191,True,active_quote,2304.2200000000003,2316.7000000000003,0.21,0.25,1777122051.8340414,1777122051.8350406,39.015371796094904,15.064531445591731,39.015371796094904,0.04323015735871641,True,-1.0,0.04323006391659312,0.23429632186889648,cancel_aggressive,True,761.0635757446289,False
1777122052.5745234,1431919142070108164,sell,2313.21,4657.523393630981,True,active_quote,2304.48,2316.96,0.21,0.25,1777122052.3188124,1777122052.3188124,37.88273276400758,16.185001035840067,37.88273276400758,0.04323015735871641,True,-1.0,0.04323006391659312,0.25571107864379883,cancel_aggressive,True,254.87780570983887,False
1777122053.5683866,1431919142070108164,sell,2313.21,5651.386499404907,True,active_quote,2304.54,2317.02,0.21,0.25,1777122053.336394,1777122053.336394,37.621390819860245,16.44353523059769,37.621390819860245,0.04323015735871641,True,-1.0,0.04323006391659312,0.23199248313903809,cancel_aggressive,True,-501.99127197265625,False
1777122054.0672195,1431919142070108164,sell,2313.21,6150.219440460205,True,active_quote,2304.59,2317.08,0.21,0.25,1777122053.8351693,1777122053.8351693,37.40361626146035,16.702056036044898,37.40361626146035,0.04323015735871641,True,-1.0,0.04323006391659312,0.23205018043518066,cancel_aggressive,True,774.6458053588867,False
1777122054.569273,1431919169546993664,sell,2313.2,101.2730598449707,True,active_quote,2304.59,2317.08,0.21,0.25,1777122054.333257,1777122054.3342574,37.360224595262814,16.74521380358084,37.360224595262814,0.0,True,-1.0,0.04323006391659312,0.23601603507995605,cancel_aggressive,True,272.59230613708496,False
1777122055.8285196,1431919169546993664,sell,2313.2,1360.5196475982666,True,active_quote,2304.57,2317.05,0.21,0.25,1777122055.5706253,1777122055.5706253,37.44733290808981,16.615955633242113,37.44733290808981,0.0,True,-1.0,0.04323006391659312,0.25789427757263184,cancel_aggressive,True,-500.02026557922363,False
1777122059.3223026,1431919187314065412,sell,2313.2,618.302583694458,True,active_quote,2304.62,2317.1,0.21,0.25,1777122059.0741465,1777122059.0741465,37.22956496081752,16.831384057658674,37.22956496081752,0.0,True,-0.6666666666666666,0.04323006391659312,0.24815607070922852,cancel_aggressive,True,245.90682983398438,False
1777122061.3353803,1431919187314065412,sell,2313.2,2631.380319595337,True,active_quote,2304.66,2317.14,0.21,0.25,1777122061.0777464,1777122061.0787451,37.05535740629839,17.003720103230943,37.05535740629839,0.0,True,-0.6666666666666666,0.04323006391659312,0.25763392448425293,cancel_aggressive,True,-510.0586414337158,False
1777122061.8264043,1431919199414632450,buy,2313.34,237.40434646606445,True,active_quote,2309.2200000000003,2321.7200000000003,0.21,0.25,1777122061.574177,1777122061.574177,17.841522245606267,36.093930361973484,36.093930361973484,0.21613303420403457,True,0.8461538461538461,0.0432267002671995,0.2522273063659668,cancel_aggressive,True,248.86441230773926,False
1777122064.0672042,1431919199414632450,buy,2313.34,2478.2042503356934,True,active_quote,2309.41,2321.91,0.21,0.25,1777122063.8356328,1777122063.8356328,17.01733343148376,36.90926866243614,36.90926866243614,0.21613303420403457,True,0.8461538461538461,0.0432267002671995,0.23157143592834473,cancel_aggressive,True,247.67160415649414,False
1777122065.5686004,1431919214564458502,buy,2313.39,367.6004409790039,True,active_quote,2309.44,2321.94,0.21,0.25,1777122065.3421218,1777122065.3421218,17.103713454343122,36.82265691620017,36.82265691620017,0.0,True,1.0,0.0432267002671995,0.22647857666015625,cancel_aggressive,True,253.74889373779297,False
1777122067.0731401,1431919222474915842,buy,2313.39,0.0,True,active_quote,2309.44,2321.94,0.21,0.25,1777122066.8443134,1777122066.8443134,17.103713454343122,36.82265691620017,36.82265691620017,0.0,True,1.0,0.0432267002671995,0.22882676124572754,cancel_aggressive,True,-503.05962562561035,False
1777122068.1340811,1431919222474915842,buy,2313.39,1047.0812320709229,True,active_quote,2309.41,2321.92,0.21,0.25,1777122067.8714201,1777122067.8723965,17.23383894587803,36.73683847850141,36.73683847850141,0.6483570632022396,True,1.0,0.04322389762749875,0.2626609802246094,cancel_aggressive,True,-513.4525299072266,False
1777122068.6197891,1431919222474915842,buy,2313.39,1532.7892303466797,True,active_quote,2309.41,2321.92,0.21,0.25,1777122068.373004,1777122068.373004,17.23383894587803,36.73683847850141,36.73683847850141,0.6483570632022396,True,1.0,0.04322389762749875,0.24678516387939453,cancel_aggressive,True,504.8840045928955,False
1777122070.1243114,1431919229408100352,sell,2313.53,1384.3114376068115,True,active_quote,2309.28,2317.6,0.21,0.25,1777122069.865753,1777122069.865753,18.404004711425205,17.561270279598332,18.404004711425205,0.0,True,0.5271867612293144,0.04322389762749875,0.2585585117340088,cancel_aggressive,True,244.16089057922363,False
1777122072.1269035,1431919229408100352,sell,2313.53,3386.9035243988037,True,active_quote,2309.28,2317.61,0.21,0.25,1777122071.8709486,1777122071.871949,18.404004711425205,17.60434240445945,18.404004711425205,0.0,True,0.5271867612293144,0.04322389762749875,0.2559549808502197,cancel_aggressive,True,-498.7614154815674,False
1777122073.1195703,1431919246722187264,buy,2313.45,251.5702247619629,True,active_quote,2308.82,2317.15,0.21,0.25,1777122072.8690243,1777122072.8690243,20.053533839795453,15.967891590964213,15.967891590964213,0.0,True,-0.3548387096774194,0.04322557916770674,0.2505459785461426,cancel_aggressive,True,-489.5949363708496,False
1777122075.635218,1431919256184537092,buy,2313.45,511.2178325653076,True,active_quote,2309.2000000000003,2321.7000000000003,0.21,0.25,1777122075.3716714,1777122075.3716714,18.40464230036179,35.53430675798102,35.53430675798102,0.0,True,0.9980970504281638,0.04322557916770674,0.2635464668273926,cancel_aggressive,True,-518.5356140136719,False
1777122076.1330612,1431919256184537092,buy,2313.45,1009.0610980987549,True,active_quote,2309.2000000000003,2321.7000000000003,0.21,0.25,1777122075.8712568,1777122075.8712568,18.40464230036179,35.53430675798102,35.53430675798102,0.0,True,0.9980970504281638,0.04322557916770674,0.26180434226989746,cancel_aggressive,True,236.13667488098145,False
1777122077.1363192,1431919264107577344,sell,2313.22,123.31914901733398,True,active_quote,2309.2000000000003,2321.7000000000003,0.21,0.25,1777122076.8658423,1777122076.8668423,17.40862636410673,36.52496015850658,17.40862636410673,0.0,True,0.9461751152073732,0.043229690152139455,0.2704768180847168,cancel_aggressive,True,-517.9445743560791,False
1777122077.6214864,1431919266355724288,sell,2313.11,72.48640060424805,True,active_quote,2308.91,2321.41,0.21,0.25,1777122077.3706117,1777122077.3706117,18.19040153145975,35.754132186902474,18.19040153145975,0.04323202628601565,True,0.9429517850570484,0.0432319328358128,0.25087475776672363,cancel_aggressive,False,-1003.1118392944336,False
1777122078.1258707,1431919266355724288,sell,2313.11,576.8706798553467,True,active_quote,2308.85,2321.34,0.21,0.25,1777122077.8723245,1777122077.873324,18.45074387682274,35.45366038581172,18.45074387682274,0.04323202628601565,True,0.9429517850570484,0.0432319328358128,0.25354623794555664,cancel_aggressive,True,502.1066665649414,False
1777122079.1312819,1431919266355724288,sell,2313.11,1582.2818279266357,True,active_quote,2308.88,2321.38,0.21,0.25,1777122078.8720164,1777122078.8720164,18.320571012785496,35.62536077677925,18.320571012785496,0.04323202628601565,True,0.9429517850570484,0.0432319328358128,0.2592654228210449,cancel_aggressive,True,236.02652549743652,False
1777122080.1299832,1431919277017645058,buy,2313.11,38.98310661315918,True,active_quote,2309.13,2321.63,0.21,0.25,1777122079.8694372,1777122079.8694372,17.235928683097175,36.69835417357624,36.69835417357624,0.0,True,0.9442482809886638,0.0432319328358128,0.2605459690093994,cancel_aggressive,True,502.0723342895508,False
1777122081.1299868,1431919277017645058,buy,2313.11,1038.9866828918457,True,active_quote,2309.11,2321.61,0.21,0.25,1777122080.8721821,1777122080.8721821,17.322691426566944,36.612523205878674,36.612523205878674,0.0,True,0.9442482809886638,0.0432319328358128,0.25780463218688965,cancel_aggressive,True,-497.93124198913574,False
1777122081.6239479,1431919277017645058,buy,2313.11,1532.9477787017822,True,active_quote,2309.12,2321.62,0.21,0.25,1777122081.372244,1777122081.372244,17.27930986696333,36.65543887457794,36.65543887457794,0.0,True,0.9442482809886638,0.0432319328358128,0.25170397758483887,cancel_aggressive,True,243.32094192504883,False
1777122083.1677206,1431919277017645058,buy,2313.11,3076.7204761505127,True,active_quote,2309.14,2321.63,0.21,0.25,1777122082.909232,1777122082.909232,17.19254787496754,36.69835417357624,36.69835417357624,0.0,True,0.9442482809886638,0.0432319328358128,0.25848865509033203,cancel_aggressive,True,499.1147518157959,False
1777122084.167105,1431919290301005824,buy,2313.11,909.1050624847412,True,active_quote,2309.15,2321.65,0.21,0.25,1777122083.9145312,1777122083.9145312,17.149167442565602,36.78418366248127,36.78418366248127,0.0,True,1.0,0.0432319328358128,0.25257372856140137,cancel_aggressive,True,-500.26965141296387,False
